food_id,canonical_name,canonical_name_original,primary_category,serving_type,serving_size_g,serving_size_min_g,serving_size_max_g,serving_size_confidence,Glycemic Index (GI),gi_evidence,Glycemic Load (GL) per 100g,gl_min,gl_max,gl_category,confidence_score,available_carbs_g,notes,Serving size G,Serving size min,Serving Size Max,Serving size confidence,Serving size min
INDWEBX_00022,Veg toast sandwich,Veg toast sandwich,Breads & flatbreads,,,,,,72,Henry et al. GI tables (non-Indian cohort),22.66,22.66,22.66,High,0.48,31.47,Class=bread. Proxy-mapped to validated source 'Jam and Peanutbuttertoast' (food_id=NONIND_0523); score=0.14; tier=prototype. Converted from source serving_size_g=150g.,150,105,195,0.55,105
INDWEBX_00023,Dahi poha,Dahi poha,Mixed meals,,,,,,69.1,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 122; n=10 Healthy; ref food/time: Glucose/2h participants; portion 147 g provides 50 g available carbs (table page 21).",15.66,15.66,15.66,Medium,0.5,22.67,Class=south. Proxy-mapped to validated source 'Sewaiupma' (food_id=IND_HENRY2021_628); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,162,130,194,0.7,130
INDWEBX_00024,Oats upma,Oats upma,Mixed meals,,,,,,37,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 151; n=None None; ref food/time: Healthy Glucose/2h participants; portion 50 g provides 10 g available carbs (table page 24).",4.93,4.93,4.93,Low,0.5,13.33,Class=south. Proxy-mapped to validated source 'Millet Baseddosa' (food_id=IND_HENRY2021_719); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,161,129,193,0.7,129
INDWEBX_00025,Poha (batata),Poha (batata),Mixed meals,,,,,,69.1,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 122; n=10 Healthy; ref food/time: Glucose/2h participants; portion 147 g provides 50 g available carbs (table page 21).",15.66,15.66,15.66,Medium,0.5,22.67,Class=south. Proxy-mapped to validated source 'Sewaiupma' (food_id=IND_HENRY2021_628); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,158,112,204,0.6,112
INDWEBX_00026,Poha (indori),Poha (indori),Mixed meals,,,,,,55.8,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 142; n=11 Healthy; ref food/time: Glucose/2h participants; portion 120 g provides 50 g available carbs (table page 23).",19.39,19.39,19.39,Medium,0.5,34.75,Class=south. Proxy-mapped to validated source 'Dosa' (food_id=IND_HENRY2021_688); score=0.00; tier=prototype. Converted from source serving_size_g=120g.,170,121,219,0.55,121
INDWEBX_00027,Poha (jalebi combBor)eakfast,Poha (jalebi combBor)eakfast,Mixed meals,,,,,,56,Henry et al. GI tables (non-Indian cohort),43.75,43.75,43.75,High,0.48,78.12,Class=sweet. Proxy-mapped to validated source 'Moon Cake' (food_id=NONIND_0530); score=0.00; tier=prototype. Converted from source serving_size_g=80g.,86,65,107,0.7,65
INDWEBX_00028,Poha (kanda),Poha (kanda),Mixed meals,,,,,,65.5,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 147; n=None None; ref food/time: Healthy Glucose/2h participants; portion 50 g provides 16 g available carbs (table page 24).",11.64,11.64,11.64,Medium,0.5,17.78,Class=south. Proxy-mapped to validated source 'Upma' (food_id=IND_HENRY2021_709); score=0.00; tier=prototype. Converted from source serving_size_g=180g.,171,137,205,0.7,137
INDWEBX_00029,Poha upma,Poha upma,Mixed meals,,,,,,65.5,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 147; n=None None; ref food/time: Healthy Glucose/2h participants; portion 50 g provides 16 g available carbs (table page 24).",11.64,11.64,11.64,Medium,0.63,17.78,Class=south. Proxy-mapped to validated source 'Upma' (food_id=IND_HENRY2021_709); score=0.58; tier=medium. Converted from source serving_size_g=180g.,174,139,209,0.75,139
INDWEBX_00030,Rava upma,Rava upma,Mixed meals,,,,,,56,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 132; n=10 Healthy; ref food/time: Glucose/2h participants; portion 252 g provides 50 g available carbs (table page 22).",6.16,6.16,6.16,Low,0.5,11,Class=south. Proxy-mapped to validated source 'Jowar Fine Semolina Upma' (food_id=IND_HENRY2021_653); score=0.28; tier=low. Converted from source serving_size_g=180g.,172,138,207,0.75,138
INDWEBX_00031,Vegetable upma,Vegetable upma,Mixed meals,,,,,,62.4,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 142; n=11 Healthy; ref food/time: Glucose/2h participants; portion 142 g provides 50 g available carbs (table page 24).",12.2,12.2,12.2,Medium,0.5,19.56,Class=south. Proxy-mapped to validated source 'Semolina Upma' (food_id=IND_HENRY2021_697); score=0.41; tier=low. Converted from source serving_size_g=180g.,173,138,207,0.75,138
INDWEBX_00032,Vermicelli upma,Vermicelli upma,Mixed meals,,,,,,65.5,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 147; n=None None; ref food/time: Healthy Glucose/2h participants; portion 50 g provides 16 g available carbs (table page 24).",11.64,11.64,11.64,Medium,0.63,17.78,Class=south. Proxy-mapped to validated source 'Upma' (food_id=IND_HENRY2021_709); score=0.58; tier=medium. Converted from source serving_size_g=180g.,170,136,204,0.75,136
INDWEBX_00033,Chicken 65,Chicken 65,Mixed meals,,,,,,0,"GI is defined using a portion providing ~50g available carbohydrate; for foods with negligible available carbohydrate, GI is not applicable. GL computed from available carbs. (FAO 1998; Oregon State LPI)",0,0,0,Low,0.85,0,"Class=protein. Proxy-mapped to validated source 'Burger Chicken' (food_id=WEST_IN_0108); score=0.41; tier=low. Converted from source serving_size_g=180g. | Override: treated as negligible-available-carbohydrate food; set GI=0 (N/A), carbs=0, GL=0 per 100g.",163,116,209,0.7,116
INDWEBX_00034,Chicken chettinad,Chicken chettinad,Mixed meals,,,,,,0,"GI is defined using a portion providing ~50g available carbohydrate; for foods with negligible available carbohydrate, GI is not applicable. GL computed from available carbs. (FAO 1998; Oregon State LPI)",0,0,0,Low,0.85,0,"Class=protein. Proxy-mapped to validated source 'Quesadilla Chicken' (food_id=WEST_IN_0190); score=0.41; tier=low. Converted from source serving_size_g=150g. | Override: treated as negligible-available-carbohydrate food; set GI=0 (N/A), carbs=0, GL=0 per 100g.",153,108,199,0.6,108
INDWEBX_00035,Chicken do pyaza,Chicken do pyaza,Mixed meals,,,,,,0,"GI is defined using a portion providing ~50g available carbohydrate; for foods with negligible available carbohydrate, GI is not applicable. GL computed from available carbs. (FAO 1998; Oregon State LPI)",0,0,0,Low,0.85,0,"Class=protein. Proxy-mapped to validated source 'Lasagna Chicken' (food_id=WEST_IN_0205); score=0.33; tier=low. Converted from source serving_size_g=250g. | Override: treated as negligible-available-carbohydrate food; set GI=0 (N/A), carbs=0, GL=0 per 100g.",159,112,206,0.6,112
INDWEBX_00036,Chicken roast,Chicken roast,Mixed meals,,,,,,0,"GI is defined using a portion providing ~50g available carbohydrate; for foods with negligible available carbohydrate, GI is not applicable. GL computed from available carbs. (FAO 1998; Oregon State LPI)",0,0,0,Low,0.85,0,"Class=protein. Proxy-mapped to validated source 'Quesadilla Chicken' (food_id=WEST_IN_0190); score=0.41; tier=low. Converted from source serving_size_g=150g. | Override: treated as negligible-available-carbohydrate food; set GI=0 (N/A), carbs=0, GL=0 per 100g.",153,108,199,0.6,108
INDWEBX_00037,Chicken saag,Chicken saag,Mixed meals,,,,,,0,"GI is defined using a portion providing ~50g available carbohydrate; for foods with negligible available carbohydrate, GI is not applicable. GL computed from available carbs. (FAO 1998; Oregon State LPI)",0,0,0,Low,0.85,0,"Class=protein. Proxy-mapped to validated source 'Lasagna Chicken' (food_id=WEST_IN_0205); score=0.41; tier=low. Converted from source serving_size_g=250g. | Override: treated as negligible-available-carbohydrate food; set GI=0 (N/A), carbs=0, GL=0 per 100g.",159,112,206,0.6,112
INDWEBX_00038,Chicken stew,Chicken stew,Mixed meals,,,,,,0,"GI is defined using a portion providing ~50g available carbohydrate; for foods with negligible available carbohydrate, GI is not applicable. GL computed from available carbs. (FAO 1998; Oregon State LPI)",0,0,0,Low,0.85,0,"Class=protein. Proxy-mapped to validated source 'Quesadilla Chicken' (food_id=WEST_IN_0190); score=0.41; tier=low. Converted from source serving_size_g=150g. | Override: treated as negligible-available-carbohydrate food; set GI=0 (N/A), carbs=0, GL=0 per 100g.",150,105,195,0.6,105
INDWEBX_00039,Tandoori chicken,Tandoori chicken,Mixed meals,,,,,,0,"GI is defined using a portion providing ~50g available carbohydrate; for foods with negligible available carbohydrate, GI is not applicable. GL computed from available carbs. (FAO 1998; Oregon State LPI)",0,0,0,Low,0.85,0,"Class=protein. Proxy-mapped to validated source 'Pizza Chicken' (food_id=WEST_IN_0016); score=0.41; tier=low. Converted from source serving_size_g=150g. | Override: treated as negligible-available-carbohydrate food; set GI=0 (N/A), carbs=0, GL=0 per 100g.",153,107,198,0.7,107
INDWEBX_00040,Badam milk,Badam milk,Mixed meals,,,,,,73,Henry et al. GI tables (non-Indian cohort),13.9,13.9,13.9,Medium,0.5,19.04,Class=other. Proxy-mapped to validated source 'Garden Milk Bar Bun' (food_id=NONIND_0544); score=0.20; tier=low. Converted from source serving_size_g=250g.,250,200,300,0.75,200
INDWEBX_00041,Bajra khichda,Bajra khichda,Mixed meals,,,,,,87,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #717",87,87,87,High,0.5,100,Class=other. Proxy-mapped to validated source 'Corn Thins Puffed Corn Cake' (food_id=T1_0717); score=0.00; tier=prototype. Converted from source serving_size_g=80g.,150,105,195,0.6,105
INDWEBX_00042,Chana jor garam,Chana jor garam,Mixed meals,,,,,,73,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #576",12.33,12.33,12.33,Medium,0.5,16.89,Class=other. Proxy-mapped to validated source 'Koshihikari Rice White' (food_id=T1_0576); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,150,120,180,0.7,120
INDWEBX_00043,Chicken frankie,Chicken frankie,Mixed meals,,,,,,0,"GI is defined using a portion providing ~50g available carbohydrate; for foods with negligible available carbohydrate, GI is not applicable. GL computed from available carbs. (FAO 1998; Oregon State LPI)",0,0,0,Low,0.85,0,"Class=protein. Proxy-mapped to validated source 'Chicken Nuggets' (food_id=WEST_IN_0224); score=0.41; tier=low. Converted from source serving_size_g=150g. | Override: treated as negligible-available-carbohydrate food; set GI=0 (N/A), carbs=0, GL=0 per 100g.",153,108,199,0.6,108
INDWEBX_00044,Churma,Churma,Mixed meals,,,,,,48,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #552",8.32,8.32,8.32,Low,0.5,17.33,Class=other. Proxy-mapped to validated source 'Doongara White Cooked in Rice Cooker' (food_id=T1_0552); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,150,120,180,0.75,120
INDWEBX_00045,Cream biscuit,Cream biscuit,Mixed meals,,,,,,87,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #717",87,87,87,High,0.5,100,Class=other. Proxy-mapped to validated source 'Corn Thins Puffed Corn Cake' (food_id=T1_0717); score=0.00; tier=prototype. Converted from source serving_size_g=80g.,59,44,74,0.7,44
INDWEBX_00046,Dahi kebab,Dahi kebab,Mixed meals,,,,,,0,"GI is defined using a portion providing ~50g available carbohydrate; for foods with negligible available carbohydrate, GI is not applicable. GL computed from available carbs. (FAO 1998; Oregon State LPI)",0,0,0,Low,0.85,0,"Class=protein. Proxy-mapped to validated source 'Fried Egg and Wich' (food_id=NONIND_0756); score=0.00; tier=prototype. Converted from source serving_size_g=150g. | Override: treated as negligible-available-carbohydrate food; set GI=0 (N/A), carbs=0, GL=0 per 100g.",153,108,198,0.6,108
INDWEBX_00047,Dahi khaman,Dahi khaman,Mixed meals,,,,,,73,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 117; n=10 Healthy; ref food/time: Glucose/2h participants; portion 120 g provides 29 g available carbs (table page 21).",11.78,11.78,11.78,Medium,0.5,16.13,Class=other. Proxy-mapped to validated source 'Chikku' (food_id=IND_HENRY2021_610); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,150,105,195,0.6,105
INDWEBX_00048,Dal baati,Dal baati,Mixed meals,,,,,,62.7,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 142; n=11 Healthy; ref food/time: Glucose/2h participants; portion 141 g provides 50 g available carbs (table page 23).",14.84,14.84,14.84,Medium,0.5,23.67,Class=other. Proxy-mapped to validated source 'Puttu' (food_id=IND_HENRY2021_689); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,150,105,195,0.6,105
INDWEBX_00049,Dal chawal,Dal chawal,Mixed meals,,,,,,87,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #717",87,87,87,High,0.5,100,Class=other. Proxy-mapped to validated source 'Corn Thins Puffed Corn Cake' (food_id=T1_0717); score=0.00; tier=prototype. Converted from source serving_size_g=80g.,150,105,195,0.6,105
INDWEBX_00050,Digestive biscuit,Digestive biscuit,Mixed meals,,,,,,48,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #552",8.32,8.32,8.32,Low,0.5,17.33,Class=other. Proxy-mapped to validated source 'Doongara White Cooked in Rice Cooker' (food_id=T1_0552); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,150,120,180,0.7,120
INDWEBX_00051,Galouti kebab,Galouti kebab,Mixed meals,,,,,,0,"GI is defined using a portion providing ~50g available carbohydrate; for foods with negligible available carbohydrate, GI is not applicable. GL computed from available carbs. (FAO 1998; Oregon State LPI)",0,0,0,Low,0.85,0,"Class=protein. Proxy-mapped to validated source 'Tuna Fish Bun' (food_id=NONIND_0519); score=0.00; tier=prototype. Converted from source serving_size_g=150g. | Override: treated as negligible-available-carbohydrate food; set GI=0 (N/A), carbs=0, GL=0 per 100g.",150,106,195,0.6,106
INDWEBX_00052,Hara bhara kebab,Hara bhara kebab,Mixed meals,,,,,,0,"GI is defined using a portion providing ~50g available carbohydrate; for foods with negligible available carbohydrate, GI is not applicable. GL computed from available carbs. (FAO 1998; Oregon State LPI)",0,0,0,Low,0.85,0,"Class=protein. Proxy-mapped to validated source 'Tuna Fish Bun' (food_id=NONIND_0519); score=0.00; tier=prototype. Converted from source serving_size_g=150g. | Override: treated as negligible-available-carbohydrate food; set GI=0 (N/A), carbs=0, GL=0 per 100g.",150,106,195,0.6,106
INDWEBX_00053,Kadhi chawal,Kadhi chawal,Mixed meals,,,,,,87,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #717",87,87,87,High,0.5,100,Class=other. Proxy-mapped to validated source 'Corn Thins Puffed Corn Cake' (food_id=T1_0717); score=0.00; tier=prototype. Converted from source serving_size_g=80g.,150,105,195,0.6,105
INDWEBX_00054,Kesari (sheera),Kesari (sheera),Mixed meals,,,,,,62.7,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 142; n=11 Healthy; ref food/time: Glucose/2h participants; portion 141 g provides 50 g available carbs (table page 23).",14.84,14.84,14.84,Medium,0.5,23.67,Class=other. Proxy-mapped to validated source 'Puttu' (food_id=IND_HENRY2021_689); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,150,105,195,0.6,105
INDWEBX_00055,Khichu,Khichu,Mixed meals,,,,,,73,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 117; n=10 Healthy; ref food/time: Glucose/2h participants; portion 120 g provides 29 g available carbs (table page 21).",11.78,11.78,11.78,Medium,0.5,16.13,Class=other. Proxy-mapped to validated source 'Chikku' (food_id=IND_HENRY2021_610); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,150,105,195,0.6,105
INDWEBX_00056,Kulcha chole,Kulcha chole,Mixed meals,,,,,,48,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #1780",41.74,41.74,41.74,High,0.5,86.97,Class=bread. Proxy-mapped to validated source 'Chapati Barley' (food_id=T1_1780); score=0.00; tier=prototype. Converted from source serving_size_g=30g.,150,105,195,0.6,105
INDWEBX_00057,Marie biscuit,Marie biscuit,Mixed meals,,,,,,62.7,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 142; n=11 Healthy; ref food/time: Glucose/2h participants; portion 141 g provides 50 g available carbs (table page 23).",14.84,14.84,14.84,Medium,0.5,23.67,Class=other. Proxy-mapped to validated source 'Puttu' (food_id=IND_HENRY2021_689); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,150,105,195,0.6,105
INDWEBX_00058,Masala oats,Masala oats,Mixed meals,,,,,,55.8,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 142; n=11 Healthy; ref food/time: Glucose/2h participants; portion 120 g provides 50 g available carbs (table page 23).",19.39,19.39,19.39,Medium,0.5,34.75,Class=other. Proxy-mapped to validated source 'Dosa' (food_id=IND_HENRY2021_688); score=0.00; tier=prototype. Converted from source serving_size_g=120g.,150,105,195,0.6,105
INDWEBX_00059,Parle-G,Parle-G,Mixed meals,,,,,,43,Henry et al. GI tables (non-Indian cohort),9.49,9.49,9.49,Low,0.5,22.07,Class=other. Proxy-mapped to validated source 'Indian Basmati Rice with G' (food_id=NONIND_0670); score=0.17; tier=low. Converted from source serving_size_g=150g.,150,120,180,0.75,120
INDWEBX_00060,Parotta,Parotta,Mixed meals,,,,,,73,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #576",12.33,12.33,12.33,Medium,0.5,16.89,Class=other. Proxy-mapped to validated source 'Koshihikari Rice White' (food_id=T1_0576); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,150,120,180,0.75,120
INDWEBX_00061,Patra (alu vadi),Patra (alu vadi),Mixed meals,,,,,,37,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 117; n=10 Healthy; ref food/time: Glucose/2h participants; portion 120 g provides 6 g available carbs (table page 21).",1.23,1.23,1.23,Low,0.5,3.33,Class=other. Proxy-mapped to validated source 'Water Melon' (food_id=IND_HENRY2021_612); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,150,105,195,0.6,105
INDWEBX_00062,Pazham pori,Pazham pori,Mixed meals,,,,,,87,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #717",87,87,87,High,0.5,100,Class=other. Proxy-mapped to validated source 'Corn Thins Puffed Corn Cake' (food_id=T1_0717); score=0.00; tier=prototype. Converted from source serving_size_g=80g.,150,105,195,0.6,105
INDWEBX_00063,Rose milk,Rose milk,Mixed meals,,,,,,31,Henry et al. GI tables (non-Indian cohort),4.96,4.96,4.96,Low,0.5,16,Class=other. Proxy-mapped to validated source 'Coconut Milk Porridge' (food_id=NONIND_0628); score=0.25; tier=low. Converted from source serving_size_g=250g.,250,200,300,0.75,200
INDWEBX_00064,Shami kebab,Shami kebab,Mixed meals,,,,,,0,"GI is defined using a portion providing ~50g available carbohydrate; for foods with negligible available carbohydrate, GI is not applicable. GL computed from available carbs. (FAO 1998; Oregon State LPI)",0,0,0,Low,0.85,0,"Class=protein. Proxy-mapped to validated source 'Fish Snacks with Chilli Sauce' (food_id=NONIND_0115); score=0.00; tier=prototype. Converted from source serving_size_g=150g. | Override: treated as negligible-available-carbohydrate food; set GI=0 (N/A), carbs=0, GL=0 per 100g.",150,105,195,0.6,105
