Suggested_item,Category,Region,Meal_occasion,Standardization_hint
Indori Poha,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Jagannath Ballabha,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Jaynagarer Moa,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Jenamani,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Kanika,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Kanji,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Kashmiri pulao,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Kerala beef fry,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Khuruma,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Kichadi,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Kidyo,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
labra tarkari,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Majjige huli,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Manchow soup,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Mangalorean Chicken Sukka,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Masala bhat,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Mattar paneer,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Murukku,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Ottupathal,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Paneer makhani,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Panipuri,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
papad,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Patoleo,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
pav gathiya,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Payesh with date palm jaggery,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Pazhapradhaman,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Phirni,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Pholourie,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Pootharekulu,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
potato biryani,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Pudina Khara Pongal,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Pulissery,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Pundi,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Q124285478,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Q134050772,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Radhaballav,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Rava idli,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
rosogolla,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Shab Deg,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Thuramanga,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Tunde ke kabab,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Undhiyu,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Unnakai,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
Vangibath,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
zarda,,,,Add cooking method and key add-ons (oil/ghee/sugar) to reduce GI/GL ambiguity.
