food_id,canonical_name,canonical_name_original,primary_category,serving_type,serving_size_g,serving_size_min_g,serving_size_max_g,serving_size_confidence,gi,gi_evidence,gl_median,gl_min,gl_max,gl_category,confidence_score,available_carbs_g,notes
NONIND_0020,Beehoon,Beehoon,Non-Indian reference food,portion,100,100,100,0.5,35.0,Henry et al. GI tables (non-Indian cohort),18.85,18.85,18.85,Medium,0.88,53.86666666666666,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0084,Berasmerah,Berasmerah(Redrice),Non-Indian reference food,portion,100,100,100,0.5,78.3,Henry et al. GI tables (non-Indian cohort),52.2,52.2,52.2,High,0.88,66.66666666666666,Original country: Malaysia. Renamed generically for Indian audience.
NONIND_0622,Besan,Chickpea(Legume),Non-Indian reference food,portion,100,100,100,0.5,33.3,Henry et al. GI tables (non-Indian cohort),6.57,6.57,6.57,Low,0.88,19.733333333333334,Original country: SriLanka. Renamed generically for Indian audience.
T1_0128,Besan Bread,"Chickpea flour bread, made from Amethyst-type",Pulses & legumes,portion,100,100,100,0.9,55.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #128",55.0,55.0,55.0,High,0.92,100.0,Normalized to 100g from table serving 30g with 13g available carbs and GL 7.
T2_0092,Besan Chilla,Besan chilla (plain),Mixed meals,portion,100,100,100,0.5,35.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,4.2,5.23,4.2,Low,0.83,12.0,Gram flour pancake; estimated.
T1_1777,Besan Dhal Besan,"besan (bengal gram) dhal, chickpea",Pulses & legumes,portion,100,100,100,0.55,11.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #1777",1.76,2.46,2.88,Low,0.92,16.0,Normalized to 100g from table serving 150g with 36g available carbs and GL 4.
NONIND_0127,Beta Glucan Rink,"Beta-Glucandrink(Oatbeta-1,3/1,4Glucan,",Non-Indian reference food,portion,100,100,100,0.5,117.0,Henry et al. GI tables (non-Indian cohort),15.6,15.6,15.6,Medium,0.88,13.333333333333334,Original country: Malaysia. Renamed generically for Indian audience.
T2_0048,Bhatura,Bhatura,Breads & flatbreads,portion,100,100,100,0.5,85.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,22.67,22.67,22.67,High,0.8,26.666666666666668,Fried refined flour; recipe-based.
T2_0114,Bhel,"Bhel (plain, no sev)",Snacks,portion,100,100,100,0.5,70.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,70.0,70.0,70.0,High,0.78,100.0,Puffed rice-based; recipe estimate.
T2_0122,Bhel Puri,Bhel puri (with sev),Snacks,portion,100,100,100,0.7,75.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,75.0,75.0,75.0,High,0.78,100.0,Sev increases carbs; recipe-based.
T3_0012,Bhindi Masala,Bhindi masala,Mixed meals,portion,100,100,100,0.5,-1.0,"GI_NA_RULE: GI is defined using a portion providing ~50g available carbohydrate; for foods with negligible available carbohydrate (non-starchy vegetables / protein mains without carb carriers), GI is not applicable. Use GL from available carbs (per 100g).",0.0,0.0,0.0,Low,0.75,4.666666666666667,"Okra; low carbs. | GI_NA_RULE applied (protein/non-starchy veg without carb carrier, carbs<=10g/100g)."
NONIND_0140,Big Rice Noodles from Mixedsagopalm Flour,Bigricenoodlesfrommixedsagopalmflour,Non-Indian reference food,portion,100,100,100,0.7,63.1,Henry et al. GI tables (non-Indian cohort),7.17,7.17,7.17,Low,0.88,11.36,Original country: Thailand. Renamed generically for Indian audience.
NONIND_0270,Bihon,Bihon(Plain Wheat Noodles),Non-Indian reference food,portion,100,100,100,0.5,49.0,Henry et al. GI tables (non-Indian cohort),26.79,26.79,26.79,High,0.88,54.666666666666664,Original country: Philippines. Renamed generically for Indian audience.
NONIND_0738,Biryani,Biryani(Chicken),Non-Indian reference food,portion,100,100,100,0.75,52.0,Henry et al. GI tables (non-Indian cohort),4.1,4.1,4.1,Low,0.88,7.88,Original country: UnitedArab. Renamed generically for Indian audience.
IND_HENRY2021_643,Biscuit,Biscuit (refined wheat flour),Grains & staples,portion,100,100,100,0.75,68.7,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 129; n=None None; ref food/time: Healthy Glucose/2.5h participants; portion 50 g provides 10 g available carbs (table page 22).",68.7,68.7,68.7,High,0.92,100.0,Computed carbs per 100 g using study portion: 10 g available carbs in 50 g portion. GI variability (SEM/SD) not reported in row.
