food_id,canonical_name,canonical_name_original,primary_category,serving_type,Serving size min ,Serving size G,Serving Size Max,Serving size confidence,gi,gi_evidence,gl_median,gl_min,gl_max,gl_category,confidence_score,available_carbs_g,notes
T3_0058,Appam with Veg Stew,Appam + veg stew,Mixed meals,portion,105,150,195,0.5,65.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,7.8,7.8,7.8,Low,0.66,12.0,Appam + coconut stew; recipe-based.
IND_HENRY2021_614,Apple,Apple,Fruits,piece,112,150,188,0.8,45.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 117; n=10 Healthy; ref food/time: Glucose/2h participants; portion 120 g provides 16 g available carbs (table page 21).",3.99,3.99,3.99,Low,0.92,8.866666666666667,Computed carbs per 100 g using study portion: 16 g available carbs in 120 g portion. GI variability (SEM/SD) not reported in row.
WEST_IN_0235,Apple Pie,Apple Pie,Western foods (India) - Desserts,piece,112,150,188,0.8,68.3,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,21.86,21.86,21.86,High,0.68,32.00585651537335,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: cake.
NONIND_0290,Apple Red,"Apple,Red",Non-Indian reference food,piece,112,150,188,0.8,42.0,Henry et al. GI tables (non-Indian cohort),3.86,3.86,3.86,Low,0.88,9.19047619047619,Original country: Philippines. Renamed generically for Indian audience.
NONIND_0728,Arabic Bread,Arabicbread,Non-Indian reference food,slice,20,25,30,0.9,67.0,Henry et al. GI tables (non-Indian cohort),67.0,67.0,67.0,High,0.88,100.0,Original country: UnitedArab. Renamed generically for Indian audience.
NONIND_0201,Arenga Starch Cake,Arenga(Arengapinata)Starchcake,Non-Indian reference food,piece,60,80,100,0.75,77.7,Henry et al. GI tables (non-Indian cohort),77.7,77.7,77.7,High,0.88,100.0,Original country: Indonesia. Renamed generically for Indian audience.
NONIND_0203,Arenga Starch Cookie,Arenga(Arengapinata)Starchcookie,Non-Indian reference food,piece,11,15,19,0.75,47.3,Henry et al. GI tables (non-Indian cohort),47.3,47.3,47.3,High,0.88,100.0,Original country: Indonesia. Renamed generically for Indian audience.
NONIND_0158,Arrowroot,Arrowroot(Marantaarundinacealinn.,Non-Indian reference food,portion,105,150,195,0.5,14.0,Henry et al. GI tables (non-Indian cohort),0.77,0.77,0.77,Low,0.88,5.5,Original country: Indonesia. Renamed generically for Indian audience.
NONIND_0168,Arrowrootoyek,Arrowrootoyek,Non-Indian reference food,portion,105,150,195,0.5,41.0,Henry et al. GI tables (non-Indian cohort),20.72,20.72,20.72,High,0.88,50.53658536585366,Original country: Indonesia. Renamed generically for Indian audience.
NONIND_0171,Arrowroottiwul,Arrowroottiwul(Garut),Non-Indian reference food,portion,105,150,195,0.5,40.0,Henry et al. GI tables (non-Indian cohort),19.44,19.44,19.44,Medium,0.88,48.60000000000001,Original country: Indonesia. Renamed generically for Indian audience.
NONIND_0740,Arseyah,Arseyah,Non-Indian reference food,portion,105,150,195,0.5,72.0,Henry et al. GI tables (non-Indian cohort),4.75,4.75,4.75,Low,0.88,6.597222222222222,Original country: UnitedArab. Renamed generically for Indian audience.
NONIND_0585,Atta Flour Roti,Attaflourroti,Non-Indian reference food,piece,22,30,38,0.8,67.0,Henry et al. GI tables (non-Indian cohort),36.85,28.81,45.56,High,0.88,55.0,Original country: SriLanka. Renamed generically for Indian audience.
NONIND_0610,Attarotimeal with Accompaniments,Attarotimeal+Accompaniments,Non-Indian reference food,portion,105,150,195,0.5,88.0,Henry et al. GI tables (non-Indian cohort),5.42,4.24,6.7,Low,0.88,6.159090909090909,Original country: SriLanka. Renamed generically for Indian audience.
NONIND_0298,Avocado,Avocado,Non-Indian reference food,portion,105,150,195,0.5,31.0,Henry et al. GI tables (non-Indian cohort),1.82,1.82,1.82,Low,0.88,5.870967741935484,Original country: Philippines. Renamed generically for Indian audience.
NONIND_0393,Bagel,Bagel,Non-Indian reference food,portion,105,150,195,0.5,77.4,Henry et al. GI tables (non-Indian cohort),24.77,24.77,24.77,High,0.88,32.002583979328165,Original country: Korea. Renamed generically for Indian audience.
T2_0012,Bajra,Pearl millet (cooked),Grains & staples,plate,120,150,180,0.55,58.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,8.89,8.89,8.89,Low,0.85,15.327586206896552,Cooked bajra grain.
T2_0006,Bajra Bhakri,Bajra bhakri,Breads & flatbreads,portion,105,150,195,0.5,56.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,11.2,11.2,11.2,Medium,0.84,20.0,Thicker roti; estimated.
T2_0019,Bajra Dosa,Bajra dosa (plain),Mixed meals,piece,90,120,150,0.75,73.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,9.74,4.26,18.86,Low,0.82,13.342465753424657,Batter-based; estimated.
T1_1774,Bajra Eaten As,"Bajra (Penniseteum typhoideum), eaten as",Grains & staples,plate,120,150,180,0.55,49.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #1774",21.78,21.78,21.78,High,0.92,44.44897959183673,Normalized to 100g from table serving 75g with 50g available carbs and GL 25.
T2_0022,Bajra Idli,Bajra idli (plain),Mixed meals,piece,38,50,62,0.8,74.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,26.64,26.64,26.64,High,0.82,36.0,Steamed batter item; estimated.
T2_0028,Bajra Khichdi,Bajra khichdi (bajra + moong),Mixed meals,katori,144,180,216,0.75,55.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,7.37,6.6,8.25,Low,0.79,13.4,Weighted GI; recipe-based.
T2_0015,Bajra Porridge,Bajra porridge (unsweetened),Grains & staples,plate,120,150,180,0.55,55.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,4.4,4.4,4.4,Low,0.83,8.000000000000002,Diluted porridge; GL lower per 100g.
T2_0032,Bajra Puttu,Bajra puttu (plain),Mixed meals,portion,105,150,195,0.5,63.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,10.92,10.92,10.92,Medium,0.8,17.333333333333332,Steamed bajra preparation.
T2_0003,Bajra Roti,Bajra roti (pearl millet roti),Breads & flatbreads,piece,22,30,38,0.8,54.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,28.71,22.45,35.5,High,0.85,53.166666666666664,Millet roti; GL estimated using cooked roti carb density.
T3_0078,Bajra Roti with Curry,Bajra roti + curry,Mixed meals,piece,22,30,38,0.8,56.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,18.48,14.45,22.85,Medium,0.66,33.0,Roti + curry; weighted.
NONIND_0515,Baked Barbecuedporkpuff,Bakedbarbecuedporkpuff,Non-Indian reference food,portion,105,150,195,0.5,55.0,Henry et al. GI tables (non-Indian cohort),11.4,11.4,11.4,Medium,0.88,20.727272727272727,Original country: Hong. Renamed generically for Indian audience.
NONIND_0404,Baked Chestnuts,Bakedchestnuts,Non-Indian reference food,portion,105,150,195,0.5,54.3,Henry et al. GI tables (non-Indian cohort),13.43,13.43,13.43,Medium,0.88,24.732965009208105,Original country: Korea. Renamed generically for Indian audience.
NONIND_0402,Baked Sweet Potato Es,Bakedsweetpotatoes,Non-Indian reference food,portion,105,150,195,0.5,90.9,Henry et al. GI tables (non-Indian cohort),18.91,18.91,18.91,Medium,0.88,20.8030803080308,Original country: Korea. Renamed generically for Indian audience.
T4_0119,Bakery Bread,Bakery bread (sweet),Breads & flatbreads,slice,20,25,30,0.9,75.0,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,75.0,75.0,75.0,High,0.52,100.0,Sweetened bread.
T4_0120,Bakery Cake,Bakery cake (assorted),Sweets & desserts,piece,60,80,100,0.75,80.0,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,45.0,45.0,45.0,High,0.5,56.25,Highly variable.
T4_0121,Bakery Cookie,Bakery cookies,Sweets & desserts,piece,11,15,19,0.75,75.0,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,75.0,75.0,75.0,High,0.5,100.0,Refined flour + sugar.
NONIND_0745,Balalet,Balalet,Non-Indian reference food,portion,105,150,195,0.5,63.0,Henry et al. GI tables (non-Indian cohort),11.72,11.72,11.72,Medium,0.88,18.603174603174605,Original country: UnitedArab. Renamed generically for Indian audience.
IND_HENRY2021_605,Banana,Banana (yallakki),Fruits,piece,96,120,144,0.85,43.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 117; n=10 Healthy; ref food/time: Glucose/2h participants; portion 120 g provides 25 g available carbs (table page 21).",7.45,7.45,7.45,Low,0.92,17.325581395348838,Computed carbs per 100 g using study portion: 25 g available carbs in 120 g portion. GI variability (SEM/SD) not reported in row.
NONIND_0281,Banana Lakatan,"Banana,Lakatan",Non-Indian reference food,piece,96,120,144,0.85,62.0,Henry et al. GI tables (non-Indian cohort),14.36,14.36,14.36,Medium,0.88,23.161290322580644,Original country: Philippines. Renamed generically for Indian audience.
T1_1775,Banana Nendra Variety,"Banana, (Musa sapientum), Nendra variety",Fruits,piece,96,120,144,0.85,70.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #1775",21.88,21.88,21.88,High,0.92,31.257142857142856,Normalized to 100g from table serving 120g with 45g available carbs and GL 31.
NONIND_0282,Banana Saba,"Banana,Saba",Non-Indian reference food,piece,96,120,144,0.85,53.0,Henry et al. GI tables (non-Indian cohort),13.74,13.74,13.74,Medium,0.88,25.92452830188679,Original country: Philippines. Renamed generically for Indian audience.
NONIND_0528,Barbecuepork Bun,Barbecueporkbun,Non-Indian reference food,portion,105,150,195,0.5,69.0,Henry et al. GI tables (non-Indian cohort),19.32,19.32,19.32,Medium,0.88,28.0,Original country: Hong. Renamed generically for Indian audience.
T3_0126,Barfi,Barfi (milk),Sweets & desserts,piece,52,70,88,0.55,80.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,40.0,40.0,40.0,High,0.58,50.0,Milk fudge; recipe-based.
NONIND_0081,Bariocelum Rice,Bariocelumrice,Non-Indian reference food,plate,120,150,180,0.85,60.9,Henry et al. GI tables (non-Indian cohort),54.4,48.72,60.9,High,0.88,89.32676518883416,Original country: Malaysia. Renamed generically for Indian audience.
NONIND_0082,Bariotuan Rice,Bariotuanrice,Non-Indian reference food,plate,120,150,180,0.85,62.2,Henry et al. GI tables (non-Indian cohort),55.57,49.76,62.2,High,0.88,89.34083601286173,Original country: Malaysia. Renamed generically for Indian audience.
T1_1776,Barley,Barley (Hordeum vulgare),Grains & staples,plate,120,150,180,0.55,48.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #1776",7.89,7.89,7.89,Low,0.92,16.4375,Normalized to 100g from table serving 150g with 37g available carbs and GL 16.
T1_0118,Barley Bread High Amylose Barley Flour and,"Barley bread, 70% high-amylose barley flour and",Grains & staples,slice,20,25,30,0.9,49.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #118",49.0,49.0,49.0,High,0.92,100.0,Normalized to 100g from table serving 30g with 12g available carbs and GL 6.
NONIND_0018,Barley Drink,Barleydrink,Non-Indian reference food,portion,105,150,195,0.5,62.0,Henry et al. GI tables (non-Indian cohort),3.14,3.14,3.14,Low,0.88,5.064516129032258,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0037,Barley Flour Muffin,Barleyflourmuffin,Non-Indian reference food,portion,105,150,195,0.5,55.4,Henry et al. GI tables (non-Indian cohort),13.22,13.22,13.22,Medium,0.88,23.862815884476536,Original country: Singapore. Renamed generically for Indian audience.
T1_0306,Barley Flour Porridge Made from Milled Dehulled Barley,"Barley flour porridge, made from milled dehulled barley",Grains & staples,plate,120,150,180,0.55,46.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #306",19.63,19.63,19.63,Medium,0.92,42.67391304347826,Normalized to 100g from table serving 50g with 32g available carbs and GL 15.
T1_0307,Barley Flour Porridge Made from Milled High Amylose,"Barley flour porridge, made from milled high-amylose",Grains & staples,plate,120,150,180,0.55,39.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #307",14.56,14.56,14.56,Medium,0.92,37.333333333333336,Normalized to 100g from table serving 50g with 28g available carbs and GL 11.
T1_0489,Barley Kernels Boiled in Water for,"Barley kernels, boiled in water for",Grains & staples,plate,120,150,180,0.55,25.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #489",9.34,9.34,9.34,Low,0.92,37.36,Normalized to 100g from table serving 150g with 42g available carbs and GL 10.
T1_0487,Barley Kernels High Amylose Boiled in,"Barley kernels, high-amylose (hull-less) boiled in",Grains & staples,plate,120,150,180,0.55,20.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #487",3.73,3.73,3.73,Low,0.92,18.65,Normalized to 100g from table serving 150g with 42g available carbs and GL 8.
T1_0488,Barley Kernels Waxy Boiled in Water,"Barley kernels, waxy (hull-less), boiled in water",Grains & staples,plate,120,150,180,0.55,22.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #488",8.22,8.22,8.22,Low,0.92,37.36363636363637,Normalized to 100g from table serving 150g with 42g available carbs and GL 9.
T1_0492,Barley Pearled Boiled,"Barley, pearled, boiled",Grains & staples,plate,120,150,180,0.55,60.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #492",11.2,11.2,11.2,Medium,0.92,18.666666666666668,Normalized to 100g from table serving 150g with 42g available carbs and GL 15.
T1_0309,Barley Porridge Made from Steam Thick,Barley porridge made from steamed thick (1.0 mm),Grains & staples,plate,120,150,180,0.55,65.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #309",48.54,48.54,48.54,High,0.92,74.67692307692307,Normalized to 100g from table serving 50g with 28g available carbs and GL 18.
T1_0308,Barley Porridge Made from Steam Thin,Barley porridge made from steamed thin (0.5 mm),Grains & staples,plate,120,150,180,0.55,62.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #308",46.3,46.3,46.3,High,0.92,74.6774193548387,Normalized to 100g from table serving 50g with 28g available carbs and GL 17.
T1_0494,Barley Pot Boiled,"Barley, pot, boiled",Grains & staples,plate,120,150,180,0.55,20.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #494",3.73,3.73,3.73,Low,0.92,18.65,Normalized to 100g from table serving 150g with 42g available carbs and GL 16.
T1_0491,Barley Pot Boiled in Salted Water,"Barley, pot, boiled in salted water",Grains & staples,plate,120,150,180,0.55,20.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #491",7.46,7.46,7.46,Low,0.92,37.3,Normalized to 100g from table serving 150g with 42g available carbs and GL 11.
NONIND_0381,Barley Powder,Barleypowder,Non-Indian reference food,portion,105,150,195,0.5,69.8,Henry et al. GI tables (non-Indian cohort),34.71,34.71,34.71,High,0.88,49.72779369627507,Original country: Korea. Renamed generically for Indian audience.
T2_0010,Barnyard Millet,Barnyard millet (cooked),Grains & staples,plate,120,150,180,0.55,45.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,6.3,6.3,6.3,Low,0.86,14.0,Cooked millet grain.
NONIND_0096,Basmati,Basmati,Non-Indian reference food,portion,105,150,195,0.5,50.0,Henry et al. GI tables (non-Indian cohort),8.87,8.87,8.87,Low,0.88,17.74,Original country: Malaysia. Renamed generically for Indian audience.
T1_0563,Basmati Easy Cook Boiled,"Basmati, easy cook, boiled",Grains & staples,plate,120,150,180,0.55,9.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #563",1.68,1.68,1.68,Low,0.92,18.666666666666668,Normalized to 100g from table serving 150g with 42g available carbs and GL 28.
NONIND_0057,Basmati Rice,"Basmatirice(Dreamrice,Singapore)",Non-Indian reference food,plate,120,150,180,0.85,55.0,Henry et al. GI tables (non-Indian cohort),36.94,33.08,41.36,High,0.88,67.16363636363636,Original country: Singapore. Renamed generically for Indian audience.
T1_0558,Basmati White Boiled,"Basmati, white, boiled",Grains & staples,plate,120,150,180,0.55,12.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #558",1.49,1.49,1.49,Low,0.92,12.416666666666666,Normalized to 100g from table serving 150g with 28g available carbs and GL 15.
T3_0129,Basundi,Basundi,Sweets & desserts,piece,52,70,88,0.55,70.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,18.0,18.0,18.0,Medium,0.6,25.714285714285715,Sweetened milk; recipe-based.
NONIND_0743,Batheetha,Batheetha,Non-Indian reference food,portion,105,150,195,0.5,59.0,Henry et al. GI tables (non-Indian cohort),15.03,15.03,15.03,Medium,0.88,25.47457627118644,Original country: UnitedArab. Renamed generically for Indian audience.
T1_0625,Bebe Dobre Rano with Milk,"Bebe Dobre Rano with Milk (LU, Czech Republic)",Dairy,glass,200,250,300,0.9,50.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #625",28.8,28.8,28.8,High,0.92,57.6,Normalized to 100g from table serving 50g with 36g available carbs and GL 18.
NONIND_0020,Beehoon,Beehoon,Non-Indian reference food,portion,105,150,195,0.5,35.0,Henry et al. GI tables (non-Indian cohort),18.85,18.85,18.85,Medium,0.88,53.85714285714286,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0084,Berasmerah,Berasmerah(Redrice),Non-Indian reference food,portion,105,150,195,0.5,78.3,Henry et al. GI tables (non-Indian cohort),52.2,52.2,52.2,High,0.88,66.66666666666667,Original country: Malaysia. Renamed generically for Indian audience.
NONIND_0622,Besan,Chickpea(Legume),Non-Indian reference food,portion,105,150,195,0.5,33.3,Henry et al. GI tables (non-Indian cohort),6.57,6.57,6.57,Low,0.88,19.72972972972973,Original country: SriLanka. Renamed generically for Indian audience.
T1_0128,Besan Bread,"Chickpea flour bread, made from Amethyst-type",Pulses & legumes,slice,20,25,30,0.9,55.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #128",110.0,88.0,132.0,High,0.92,200.0,Normalized to 100g from table serving 30g with 13g available carbs and GL 7.
T2_0092,Besan Chilla,Besan chilla (plain),Mixed meals,portion,105,150,195,0.5,35.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,4.2,4.2,4.2,Low,0.83,12.0,Gram flour pancake; estimated.
T1_1777,Besan Dhal Besan,"besan (bengal gram) dhal, chickpea",Pulses & legumes,katori,120,150,180,0.55,11.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #1777",3.52,2.82,4.22,Low,0.92,32.0,Normalized to 100g from table serving 150g with 36g available carbs and GL 4.
T2_0048,Bhatura,Bhatura,Breads & flatbreads,portion,105,150,195,0.5,85.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,22.67,22.67,22.67,High,0.8,26.67058823529412,Fried refined flour; recipe-based.
T2_0114,Bhel,"Bhel (plain, no sev)",Snacks,handful,15,25,35,0.5,70.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,70.0,70.0,70.0,High,0.78,100.0,Puffed rice-based; recipe estimate.
T2_0122,Bhel Puri,Bhel puri (with sev),Snacks,piece,15,20,25,0.7,75.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,75.0,75.0,75.0,High,0.78,100.0,Sev increases carbs; recipe-based.
NONIND_0140,Big Rice Noodles from Mixedsagopalm Flour,Bigricenoodlesfrommixedsagopalmflour,Non-Indian reference food,bowl,188,250,312,0.7,63.1,Henry et al. GI tables (non-Indian cohort),9.61,8.6,10.75,Low,0.88,15.229793977812994,Original country: Thailand. Renamed generically for Indian audience.
NONIND_0270,Bihon,Bihon(Plain Wheat Noodles),Non-Indian reference food,portion,105,150,195,0.5,49.0,Henry et al. GI tables (non-Indian cohort),26.79,26.79,26.79,High,0.88,54.673469387755105,Original country: Philippines. Renamed generically for Indian audience.
NONIND_0738,Biryani,Biryani(Chicken),Non-Indian reference food,plate,200,250,300,0.75,52.0,Henry et al. GI tables (non-Indian cohort),5.49,4.92,6.15,Low,0.88,10.557692307692308,Original country: UnitedArab. Renamed generically for Indian audience.
IND_HENRY2021_643,Biscuit,Biscuit (refined wheat flour),Grains & staples,piece,11,15,19,0.75,68.7,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 129; n=None None; ref food/time: Healthy Glucose/2.5h participants; portion 50 g provides 10 g available carbs (table page 22).",68.7,68.7,68.7,High,0.92,100.0,Computed carbs per 100 g using study portion: 10 g available carbs in 50 g portion. GI variability (SEM/SD) not reported in row.
IND_HENRY2021_602,Biscuits,Biscuits (crude refined wheat flour),Grains & staples,plate,120,150,180,0.55,68.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 115; n=13 Healthy; ref food/time: Glucose/2.5h participants; portion 90 g provides 50 g available carbs (table page 21).",25.21,25.21,25.21,High,0.92,37.0735294117647,Computed carbs per 100 g using study portion: 50 g available carbs in 90 g portion. GI SEM/SD reported: 52.8.
T3_0061,Bisi Bele Bath,Bisi bele bath,Mixed meals,portion,105,150,195,0.5,60.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,7.2,7.2,7.2,Low,0.66,12.0,Rice+dal+veg; recipe-based.
WEST_IN_0236,Black Forest Cake,Black Forest Cake,Western foods (India) - Desserts,piece,60,80,100,0.75,68.3,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,40.98,40.98,40.98,High,0.68,60.0,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: cake.
