food_id,canonical_name,primary_category,gi,gi_evidence,gl_median,gl_min,gl_max,gl_category,confidence_score,serving_size_g,available_carbs_g,notes
IND_HENRY2021_618,RawAmaranth,Other,102.3,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 118; n=50 Glucose/2h; ref food/time: Grainsflourchapatti participants; portion 121.39 g provides 50 g available carbs (table page 21).",42.1,38.8,45.5,High,0.92,100,41.2,Computed carbs per 100 g using study portion: 50 g available carbs in 121.39 g portion. GI SEM/SD reported: 76.4.
IND_HENRY2021_619,SonaMasuri (parboiledrice),Grains & staples,72.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 119; n=30 Healthy; ref food/time: Glucose/2h participants; portion 235 g provides 50 g available carbs (table page 21).",15.3,13.8,16.9,Medium,0.9,100,21.3,Computed carbs per 100 g using study portion: 50 g available carbs in 235 g portion. GI SEM/SD reported: 4.5.
IND_HENRY2021_620,Ponni (parboiledrice),Grains & staples,70.2,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 119; n=30 Healthy; ref food/time: Glucose/2h participants; portion 236 g provides 50 g available carbs (table page 21).",14.9,13.4,16.4,Medium,0.9,100,21.2,Computed carbs per 100 g using study portion: 50 g available carbs in 236 g portion. GI SEM/SD reported: 3.6.
IND_HENRY2021_621,SurtiKolam (parboiledrice),Grains & staples,77.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 119; n=30 Healthy; ref food/time: Glucose/2h participants; portion 259 g provides 50 g available carbs (table page 21).",14.9,13.4,16.4,Medium,0.9,100,19.3,Computed carbs per 100 g using study portion: 50 g available carbs in 259 g portion. GI SEM/SD reported: 4.
IND_HENRY2021_622,"Burfi ( made with 43% foxtailmillet,57% bengal",Grains & staples,37.5,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 120; n=None None; ref food/time: Healthy Glucose/2.5h gramflour) participants; portion 50 g provides 10 g available carbs (table page 21).",7.5,6.8,8.2,Low,0.9,100,20.0,Computed carbs per 100 g using study portion: 10 g available carbs in 50 g portion. GI SEM/SD reported: 18.5.
IND_HENRY2021_623,"Burfi ( made with 43% barnyardmillet,57%",Grains & staples,45.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 120; n=None None; ref food/time: Healthy Glucose/2.5h bengalgramflour) participants; portion 50 g provides 10 g available carbs (table page 21).",9.0,8.1,9.9,Low,0.9,100,20.0,Computed carbs per 100 g using study portion: 10 g available carbs in 50 g portion. GI SEM/SD reported: 14.5.
IND_HENRY2021_625,Namkeensev ( with outdriedbottlegourdpulp,Other,32.8,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 121; n=None None; ref food/time: Healthy Glucose/2h powder)[bengalgramflour+kidneybean participants flour(50:50)]; portion 50 g provides 10 g available carbs (table page 21).",6.6,5.9,7.2,Low,0.9,100,20.0,Computed carbs per 100 g using study portion: 10 g available carbs in 50 g portion. GI variability (SEM/SD) not reported in row.
IND_HENRY2021_626,Namkeensev ( with driedbottlegourdpulp,Other,21.8,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 121; n=None None; ref food/time: Healthy Glucose/2h powder)[bengalgramflour+kidneybean participants flour+DBPP(40:40:20)]; portion 50 g provides 10 g available carbs (table page 21).",4.4,3.9,4.8,Low,0.9,100,20.0,Computed carbs per 100 g using study portion: 10 g available carbs in 50 g portion. GI variability (SEM/SD) not reported in row.
IND_HENRY2021_627,Idli,Breads & fermented,67.1,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 122; n=10 Healthy; ref food/time: Glucose/2h participants; portion 70 g provides 50 g available carbs (table page 21).",47.9,44.1,51.8,High,0.92,100,71.4,Computed carbs per 100 g using study portion: 50 g available carbs in 70 g portion. GI SEM/SD reported: 3.25.
IND_HENRY2021_628,Sewaiupma,Grains & staples,69.1,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 122; n=10 Healthy; ref food/time: Glucose/2h participants; portion 147 g provides 50 g available carbs (table page 21).",23.5,21.6,25.4,High,0.92,100,34.0,Computed carbs per 100 g using study portion: 50 g available carbs in 147 g portion. GI SEM/SD reported: 1.74.
IND_HENRY2021_629,,Other,60.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 122; n=50 10; ref food/time: Healthy Glucose/2h participants NutritionandDiabetes Henryetal.NutritionandDiabetes (2021) 11:2 Page22of36 Reference Country Fooditem GI(glucose=100) Servingsize(g)perexperimental AvailableCHO Participants Reference portionsize (g)per (typeand foodand experimental number) timeperiod portion Mean SEM; portion 1.48 g provides 76 g available carbs (table page 21).",3081.1,2834.6,3327.6,High,0.92,100,5135.1,Computed carbs per 100 g using study portion: 76 g available carbs in 1.48 g portion. GI SEM/SD reported: 58.53.
IND_HENRY2021_630,,Other,60.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 122; n=50 10; ref food/time: Healthy Glucose/2h participants; portion 1.01 g provides 150 g available carbs (table page 22).",8910.9,8198.0,9623.8,High,0.92,100,14851.5,Computed carbs per 100 g using study portion: 150 g available carbs in 1.01 g portion. GI SEM/SD reported: 65.49.
IND_HENRY2021_631,Chapatti (whole wheat),Grains & staples,83.9,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 123; n=2 participants; ref food/time: ; portion 50 g provides 20 g available carbs (table page 22).",33.6,30.9,36.3,High,0.92,100,40.0,Computed carbs per 100 g using study portion: 20 g available carbs in 50 g portion. GI SEM/SD reported: 9.63.
IND_HENRY2021_632,Chapatti (whole wheat + ricebran-based),Grains & staples,68.3,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 123; n=2 participants; ref food/time: ; portion 50 g provides 20 g available carbs (table page 22).",27.3,25.1,29.5,High,0.92,100,40.0,Computed carbs per 100 g using study portion: 20 g available carbs in 50 g portion. GI SEM/SD reported: 11.49.
IND_HENRY2021_633,Indianbrandedbasmatirice,Grains & staples,54.9,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 124; n=None None; ref food/time: Healthy Glucose/2hr participants; portion 50 g provides 70 g available carbs (table page 22).",76.9,69.2,84.6,High,0.9,100,140.0,Computed carbs per 100 g using study portion: 70 g available carbs in 50 g portion. GI SEM/SD reported: 1.07.
IND_HENRY2021_634,Misiparantha,Other,40.4,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 125; n=None None; ref food/time: Glucose/2.5h participants; portion 50 g provides 10 g available carbs (table page 22).",8.1,7.3,8.9,Low,0.9,100,20.0,Computed carbs per 100 g using study portion: 10 g available carbs in 50 g portion. GI variability (SEM/SD) not reported in row.
IND_HENRY2021_635,,Other,15.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 125; n=None None; ref food/time: Healthy Glucose/2.5h participants; portion 50 g provides 10 g available carbs (table page 22).",3.0,2.8,3.2,Low,0.92,100,20.0,Computed carbs per 100 g using study portion: 10 g available carbs in 50 g portion. GI SEM/SD reported: 32.54.
IND_HENRY2021_636,,Other,10.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 126; n=None None; ref food/time: Healthy Glucose/2h participants; portion 50 g provides 25 g available carbs (table page 22).",5.0,4.6,5.4,Low,0.92,100,50.0,Computed carbs per 100 g using study portion: 25 g available carbs in 50 g portion. GI SEM/SD reported: 35.
IND_HENRY2021_637,,Other,5.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 126; n=None None; ref food/time: Healthy Glucose/2h participants; portion 50 g provides 25 g available carbs (table page 22).",2.5,2.3,2.7,Low,0.92,100,50.0,Computed carbs per 100 g using study portion: 25 g available carbs in 50 g portion. GI SEM/SD reported: 53.
IND_HENRY2021_638,,Other,30.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 127; n=10 Healthy; ref food/time: Glucose/2.5h wheatflour) participants; portion 64.97 g provides 50 g available carbs (table page 22).",23.1,21.2,24.9,High,0.92,100,77.0,Computed carbs per 100 g using study portion: 50 g available carbs in 64.97 g portion. GI SEM/SD reported: 45.1.
IND_HENRY2021_639,Noodles ( refined wheat flour),Grains & staples,62.6,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 127; n=10 Healthy; ref food/time: Glucose/2.5h participants; portion 65.66 g provides 50 g available carbs (table page 22).",47.7,43.9,51.5,High,0.92,100,76.1,Computed carbs per 100 g using study portion: 50 g available carbs in 65.66 g portion. GI variability (SEM/SD) not reported in row.
IND_HENRY2021_640,refined wheatnoodles,Grains & staples,66.4,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 128; n=None None; ref food/time: Healthy Glucose/2h participants; portion 50 g provides 10 g available carbs (table page 22).",13.3,12.0,14.6,Medium,0.9,100,20.0,Computed carbs per 100 g using study portion: 10 g available carbs in 50 g portion. GI variability (SEM/SD) not reported in row.
IND_HENRY2021_641,refined wheatnoodles (addedbengal gram,Grains & staples,56.1,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 128; n=None None; ref food/time: Healthy Glucose/2h seedcoat+brokenrice) participants; portion 50 g provides 10 g available carbs (table page 22).",11.2,10.1,12.3,Medium,0.9,100,20.0,Computed carbs per 100 g using study portion: 10 g available carbs in 50 g portion. GI variability (SEM/SD) not reported in row.
IND_HENRY2021_642,refined wheatnoodles (addedbengal gram,Grains & staples,45.8,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 128; n=None None; ref food/time: Healthy Glucose/2h broken+brokenrice) participants; portion 50 g provides 10 g available carbs (table page 22).",9.2,8.2,10.1,Low,0.9,100,20.0,Computed carbs per 100 g using study portion: 10 g available carbs in 50 g portion. GI variability (SEM/SD) not reported in row.
IND_HENRY2021_643,Biscuit ( refined wheat flour),Grains & staples,68.7,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 129; n=None None; ref food/time: Healthy Glucose/2.5h participants; portion 50 g provides 10 g available carbs (table page 22).",13.7,12.6,14.8,Medium,0.92,100,20.0,Computed carbs per 100 g using study portion: 10 g available carbs in 50 g portion. GI variability (SEM/SD) not reported in row.
IND_HENRY2021_644,,Other,12.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 129; n=None None; ref food/time: Healthy Glucose/2.5h gramhusk) participants; portion 50 g provides 10 g available carbs (table page 22).",2.4,2.2,2.6,Low,0.92,100,20.0,Computed carbs per 100 g using study portion: 10 g available carbs in 50 g portion. GI SEM/SD reported: 46.26.
IND_HENRY2021_645,Banana (Nendran),Fruits,87.3,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 130; n=None None; ref food/time: Healthy Glucose/2h participants; portion 50 g provides 20 g available carbs (table page 22).",34.9,32.1,37.7,High,0.92,100,40.0,Computed carbs per 100 g using study portion: 20 g available carbs in 50 g portion. GI variability (SEM/SD) not reported in row.
IND_HENRY2021_646,Banana (Robusta),Fruits,81.5,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 130; n=None None; ref food/time: Healthy Glucose/2h participants; portion 50 g provides 20 g available carbs (table page 22).",32.6,30.0,35.2,High,0.92,100,40.0,Computed carbs per 100 g using study portion: 20 g available carbs in 50 g portion. GI variability (SEM/SD) not reported in row.
IND_HENRY2021_647,Banana (Poovan),Fruits,83.4,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 130; n=None None; ref food/time: Healthy Glucose/2h participants; portion 50 g provides 20 g available carbs (table page 22).",33.3,30.7,36.0,High,0.92,100,40.0,Computed carbs per 100 g using study portion: 20 g available carbs in 50 g portion. GI variability (SEM/SD) not reported in row.
IND_HENRY2021_648,Banana (Chenkadali),Pulses & legumes,82.2,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 130; n=None None; ref food/time: Healthy Glucose/2h participants; portion 50 g provides 20 g available carbs (table page 22).",32.9,30.3,35.5,High,0.92,100,40.0,Computed carbs per 100 g using study portion: 20 g available carbs in 50 g portion. GI variability (SEM/SD) not reported in row.
IND_HENRY2021_649,Banana (Njalipoovan),Fruits,96.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 130; n=None None; ref food/time: Healthy Glucose/2h participants; portion 50 g provides 20 g available carbs (table page 22).",38.4,35.3,41.5,High,0.92,100,40.0,Computed carbs per 100 g using study portion: 20 g available carbs in 50 g portion. GI variability (SEM/SD) not reported in row.
IND_HENRY2021_650,Littlemilletflakes (readytocook),Grains & staples,52.1,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 131; n=10 Healthy; ref food/time: Glucose/2.5h participants; portion 84 g provides 50 g available carbs (table page 22).",31.0,27.9,34.1,High,0.9,100,59.5,Computed carbs per 100 g using study portion: 50 g available carbs in 84 g portion. GI variability (SEM/SD) not reported in row.
IND_HENRY2021_651,Sorghummultigrainroti,Breads & fermented,68.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 132; n=10 Healthy; ref food/time: Glucose/2h participants; portion 119 g provides 50 g available carbs (table page 22).",28.6,25.7,31.4,High,0.9,100,42.0,Computed carbs per 100 g using study portion: 50 g available carbs in 119 g portion. GI SEM/SD reported: 8.63.
IND_HENRY2021_652,Sorghumcoarsesemolinaupma,Grains & staples,53.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 132; n=10 Healthy; ref food/time: Glucose/2h participants; portion 232 g provides 50 g available carbs (table page 22).",11.4,10.3,12.6,Medium,0.9,100,21.6,Computed carbs per 100 g using study portion: 50 g available carbs in 232 g portion. GI SEM/SD reported: 2.84.
IND_HENRY2021_653,Sorghumfinesemolinaupma,Grains & staples,56.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 132; n=10 Healthy; ref food/time: Glucose/2h participants; portion 252 g provides 50 g available carbs (table page 22).",11.1,10.0,12.2,Medium,0.9,100,19.8,Computed carbs per 100 g using study portion: 50 g available carbs in 252 g portion. GI SEM/SD reported: 9.83.
IND_HENRY2021_654,Sorghumflakespoha,Grains & staples,45.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 132; n=10 Healthy; ref food/time: Glucose/2h participants; portion 277 g provides 50 g available carbs (table page 22).",8.1,7.3,8.9,Low,0.9,100,18.1,Computed carbs per 100 g using study portion: 50 g available carbs in 277 g portion. GI SEM/SD reported: 5.27.
IND_HENRY2021_655,Sorghumpasta,Other,46.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 132; n=10 Healthy; ref food/time: Glucose/2h participants; portion 330 g provides 50 g available carbs (table page 22).",7.0,6.3,7.7,Low,0.9,100,15.2,Computed carbs per 100 g using study portion: 50 g available carbs in 330 g portion. GI SEM/SD reported: 6.47.
IND_HENRY2021_656,Sorghumbiscuits,Snacks & bakery,54.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 132; n=10 Healthy; ref food/time: Glucose/2h participants; portion 75 g provides 50 g available carbs (table page 22).",36.0,32.4,39.6,High,0.9,100,66.7,Computed carbs per 100 g using study portion: 50 g available carbs in 75 g portion. GI SEM/SD reported: 6.3.
IND_HENRY2021_657,Wheatroti,Grains & staples,64.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 132; n=10 Healthy; ref food/time: Glucose/2h participants; portion 119 g provides 50 g available carbs (table page 22).",26.9,24.7,29.0,High,0.92,100,42.0,Computed carbs per 100 g using study portion: 50 g available carbs in 119 g portion. GI SEM/SD reported: 9.24.
IND_HENRY2021_658,Wheatcoarsesemolinaupma,Grains & staples,58.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 132; n=10 Healthy; ref food/time: Glucose/2h participants; portion 232 g provides 50 g available carbs (table page 22).",12.5,11.2,13.8,Medium,0.9,100,21.6,Computed carbs per 100 g using study portion: 50 g available carbs in 232 g portion. GI SEM/SD reported: 6.85.
IND_HENRY2021_659,Wheatfinesemolinaupma,Grains & staples,67.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 132; n=10 Healthy; ref food/time: Glucose/2h participants; portion 252 g provides 50 g available carbs (table page 22).",13.3,12.0,14.6,Medium,0.9,100,19.8,Computed carbs per 100 g using study portion: 50 g available carbs in 252 g portion. GI SEM/SD reported: 10.8.
IND_HENRY2021_660,Riceflakespoha,Grains & staples,74.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 132; n=10 Healthy; ref food/time: Glucose/2h participants; portion 277 g provides 50 g available carbs (table page 22).",13.4,12.0,14.7,Medium,0.9,100,18.1,Computed carbs per 100 g using study portion: 50 g available carbs in 277 g portion. GI SEM/SD reported: 4.87.
IND_HENRY2021_661,Wheatpasta,Grains & staples,72.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 132; n=10 Healthy; ref food/time: Glucose/2h participants; portion 330 g provides 50 g available carbs (table page 22).",10.9,10.0,11.8,Medium,0.92,100,15.2,Computed carbs per 100 g using study portion: 50 g available carbs in 330 g portion. GI SEM/SD reported: 6.51.
IND_HENRY2021_662,Wheatbiscuits,Grains & staples,57.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 132; n=10 Healthy; ref food/time: Glucose/2h participants; portion 75 g provides 50 g available carbs (table page 22).",38.0,34.2,41.8,High,0.9,100,66.7,Computed carbs per 100 g using study portion: 50 g available carbs in 75 g portion. GI SEM/SD reported: 11.4.
IND_HENRY2021_663,Khichdi (barnyardmillet),Grains & staples,35.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 133; n=None None; ref food/time: Healthy Glucose/2.5h participants NutritionandDiabetes Henryetal.NutritionandDiabetes (2021) 11:2 Page23of36 Reference Country Fooditem GI(glucose=100) Servingsize(g)perexperimental AvailableCHO Participants Reference portionsize (g)per (typeand foodand experimental number) timeperiod portion Mean SEM; portion 50 g provides 10 g available carbs (table page 22).",7.0,6.3,7.7,Low,0.9,100,20.0,Computed carbs per 100 g using study portion: 10 g available carbs in 50 g portion. GI SEM/SD reported: 1.22.
IND_HENRY2021_664,Ricekhichdi,Grains & staples,62.5,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 133; n=None None; ref food/time: Healthy Glucose/2.5h participants; portion 50 g provides 10 g available carbs (table page 23).",12.5,11.5,13.5,Medium,0.92,100,20.0,Computed carbs per 100 g using study portion: 10 g available carbs in 50 g portion. GI SEM/SD reported: 1.38.
IND_HENRY2021_665,Highfibrewhiterice,Grains & staples,61.3,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 134; n=39 Healthy; ref food/time: Glucose/2h 1:2water participants; portion 67 g provides 50 g available carbs (table page 23).",45.7,41.2,50.3,High,0.9,100,74.6,Computed carbs per 100 g using study portion: 50 g available carbs in 67 g portion. GI SEM/SD reported: 2.8.
IND_HENRY2021_666,Whiterice,Grains & staples,79.2,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 134; n=40 Healthy; ref food/time: Glucose/2h 1:2water participants; portion 65 g provides 50 g available carbs (table page 23).",60.9,56.0,65.8,High,0.92,100,76.9,Computed carbs per 100 g using study portion: 50 g available carbs in 65 g portion. GI SEM/SD reported: 4.8.
IND_HENRY2021_667,Dosa (rice-based),Grains & staples,77.9,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 135; n=10 Healthy; ref food/time: Whitebread/ participants 2h; portion 140 g provides 50 g available carbs (table page 23).",27.8,25.6,30.0,High,0.92,100,35.7,Computed carbs per 100 g using study portion: 50 g available carbs in 140 g portion. GI variability (SEM/SD) not reported in row.
IND_HENRY2021_668,Dosa (foxtailmillet-based),Grains & staples,59.2,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 135; n=10 Healthy; ref food/time: Whitebread/ participants 2h; portion 290 g provides 50 g available carbs (table page 23).",10.2,9.2,11.2,Medium,0.9,100,17.2,Computed carbs per 100 g using study portion: 50 g available carbs in 290 g portion. GI variability (SEM/SD) not reported in row.
IND_HENRY2021_669,Brownragiroti,Grains & staples,61.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 136; n=10 Healthy; ref food/time: Glucose/2h participants; portion 69.44 g provides 50 g available carbs (table page 23).",43.9,39.5,48.3,High,0.9,100,72.0,Computed carbs per 100 g using study portion: 50 g available carbs in 69.44 g portion. GI SEM/SD reported: 5.77.
IND_HENRY2021_670,Whiteragiroti,Grains & staples,67.3,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 136; n=10 Healthy; ref food/time: Glucose/2h participants; portion 69.44 g provides 50 g available carbs (table page 23).",48.5,43.6,53.3,High,0.9,100,72.0,Computed carbs per 100 g using study portion: 50 g available carbs in 69.44 g portion. GI SEM/SD reported: 2.78.
