food_id,canonical_name,canonical_name_original,primary_category,serving_type,Serving size min ,Serving size G,Serving Size Max,Serving size confidence,gi,gi_evidence,gl_median,gl_min,gl_max,gl_category,confidence_score,available_carbs_g,notes,aliases_compiled,search_text,available_carbs_per_serving_calc,available_carbs_quality_flag,available_carbs_g_original,available_carbs_per_serving_original
T3_0009,Aloo Gobi,Aloo gobi,Mixed meals,portion,105,150,195,0.5,75.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,6.0,6.0,6.0,Low,0.7,8.0,Potato-forward sabzi; higher GI component.,aloogobi,Aloo Gobi | aka Aloo gobi | aliases: aloogobi | category: Mixed meals | serving_type: portion | serving_g: 150(min 105 max 195) | GI: 75 | GL_median: 6 | GL_category: Low | available_carbs_g: 8 | confidence_score: 0.7 | evidence: Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels. | notes: Potato-forward sabzi; higher GI component.,12.0,PASS,8.0,12.0
T3_0010,Aloo Matar,Aloo matar,Mixed meals,portion,105,150,195,0.5,70.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,6.53,6.53,6.53,Low,0.7,9.333333333,Potato + peas; recipe-based.,aloomatar,Aloo Matar | aka Aloo matar | aliases: aloomatar | category: Mixed meals | serving_type: portion | serving_g: 150(min 105 max 195) | GI: 70 | GL_median: 6.53 | GL_category: Low | available_carbs_g: 9.3333 | confidence_score: 0.7 | evidence: Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels. | notes: Potato + peas; recipe-based.,14.0,PASS,9.333333333,14.0
T2_0044,Aloo Paratha,Aloo paratha,Breads & flatbreads,piece,60,80,100,0.75,75.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,22.21,18.28,26.71,High,0.8,37.5,Stuffing changes density; recipe-based.,alooparatha | parantha | parontha,"Aloo Paratha | aka Aloo paratha | aliases: alooparatha, parantha, parontha | category: Breads & flatbreads | serving_type: piece | serving_g: 80(min 60 max 100) | GI: 75 | GL_median: 22.21 | GL_category: High | available_carbs_g: 37.5 | confidence_score: 0.8 | evidence: Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g. | notes: Stuffing changes density; recipe-based.",30.0,PASS,37.5,30.0
T3_0148,Aloo Puri,Aloo puri,Mixed meals,piece,15,20,25,0.7,80.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,80.0,80.0,80.0,High,0.6,100.0,Fried bread + potato; recipe-based.,aloopuri,Aloo Puri | aka Aloo puri | aliases: aloopuri | category: Mixed meals | serving_type: piece | serving_g: 20(min 15 max 25) | GI: 80 | GL_median: 80 | GL_category: High | available_carbs_g: 100 | confidence_score: 0.6 | evidence: Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels. | notes: Fried bread + potato; recipe-based.,20.0,PASS,100.0,20.0
T3_0093,Aloo Tikki,Aloo tikki,Snacks,handful,15,25,35,0.5,80.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,64.0,64.0,64.0,High,0.64,80.0,Potato patty; recipe-based.,alootikki,Aloo Tikki | aka Aloo tikki | aliases: alootikki | category: Snacks | serving_type: handful | serving_g: 25(min 15 max 35) | GI: 80 | GL_median: 64 | GL_category: High | available_carbs_g: 80 | confidence_score: 0.64 | evidence: Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels. | notes: Potato patty; recipe-based.,20.0,PASS,80.0,20.0
IND_HENRY2021_694,Appam,Appam,Other,portion,105,150,195,0.5,59.9,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 142; n=11 Healthy; ref food/time: Glucose/2h participants; portion 122 g provides 50 g available carbs (table page 23).",16.37,16.37,16.37,Medium,0.92,27.33333333,Computed carbs per 100 g using study portion: 50 g available carbs in 122 g portion. GI variability (SEM/SD) not reported in row.,,"Appam | category: Other | serving_type: portion | serving_g: 150(min 105 max 195) | GI: 59.9 | GL_median: 16.37 | GL_category: Medium | available_carbs_g: 27.3333 | confidence_score: 0.92 | evidence: Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 142; n=11 Healthy; ref food/time: Glucose/2h participants; portion 122 g provides 50 g available carbs (table page 23). | notes: Computed carbs per 100 g using study portion: 50 g available carbs in 122 g portion. GI variability (SEM/SD) not reported in row.",41.0,PASS,27.33333333,41.0
T3_0058,Appam with Veg Stew,Appam + veg stew,Mixed meals,portion,105,150,195,0.5,65.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,7.8,7.8,7.8,Low,0.66,12.0,Appam + coconut stew; recipe-based.,Appam + veg stew | appam veg stew | appamwithvegstew | appamvegstew,"Appam with Veg Stew | aka Appam + veg stew | aliases: Appam + veg stew, appam veg stew, appamwithvegstew, appamvegstew | category: Mixed meals | serving_type: portion | serving_g: 150(min 105 max 195) | GI: 65 | GL_median: 7.8 | GL_category: Low | available_carbs_g: 12 | confidence_score: 0.66 | evidence: Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels. | notes: Appam + coconut stew; recipe-based.",18.0,PASS,12.0,18.0
IND_HENRY2021_614,Apple,Apple,Fruits,piece,112,150,188,0.8,45.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 117; n=10 Healthy; ref food/time: Glucose/2h participants; portion 120 g provides 16 g available carbs (table page 21).",3.99,3.99,3.99,Low,0.92,8.866666667,Computed carbs per 100 g using study portion: 16 g available carbs in 120 g portion. GI variability (SEM/SD) not reported in row.,,"Apple | category: Fruits | serving_type: piece | serving_g: 150(min 112 max 188) | GI: 45 | GL_median: 3.99 | GL_category: Low | available_carbs_g: 8.8667 | confidence_score: 0.92 | evidence: Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 117; n=10 Healthy; ref food/time: Glucose/2h participants; portion 120 g provides 16 g available carbs (table page 21). | notes: Computed carbs per 100 g using study portion: 16 g available carbs in 120 g portion. GI variability (SEM/SD) not reported in row.",13.3,PASS,8.866666667,13.3
WEST_IN_0235,Apple Pie,Apple Pie,Western foods (India) - Desserts,piece,112,150,188,0.8,68.3,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,21.86,21.86,21.86,High,0.68,32.0,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: cake.,applepie,Apple Pie | aliases: applepie | category: Western foods (India) - Desserts | serving_type: piece | serving_g: 150(min 112 max 188) | GI: 68.3 | GL_median: 21.86 | GL_category: High | available_carbs_g: 32 | confidence_score: 0.68 | evidence: Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula. | notes: Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: cake.,48.0,PASS,32.0,48.0
NONIND_0290,Apple Red,"Apple,Red",Non-Indian reference food,piece,112,150,188,0.8,42.0,Henry et al. GI tables (non-Indian cohort),3.86,3.86,3.86,Low,0.88,9.2,Original country: Philippines. Renamed generically for Indian audience.,"Apple,Red | apple,red | applered | Apple | apple | Red | red","Apple Red | aka Apple,Red | aliases: Apple Red, apple red, applered, Apple, apple, Red, red | category: Non-Indian reference food | serving_type: piece | serving_g: 150(min 112 max 188) | GI: 42 | GL_median: 3.86 | GL_category: Low | available_carbs_g: 9.2 | confidence_score: 0.88 | evidence: Henry et al. GI tables (non-Indian cohort) | notes: Original country: Philippines. Renamed generically for Indian audience.",13.8,PASS,9.2,13.8
NONIND_0728,Arabic Bread,Arabicbread,Non-Indian reference food,slice,20,25,30,0.9,67.0,Henry et al. GI tables (non-Indian cohort),67.0,67.0,67.0,High,0.88,100.0,Original country: UnitedArab. Renamed generically for Indian audience.,Arabicbread | arabicbread,"Arabic Bread | aka Arabicbread | aliases: Arabicbread, arabicbread | category: Non-Indian reference food | serving_type: slice | serving_g: 25(min 20 max 30) | GI: 67 | GL_median: 67 | GL_category: High | available_carbs_g: 100 | confidence_score: 0.88 | evidence: Henry et al. GI tables (non-Indian cohort) | notes: Original country: UnitedArab. Renamed generically for Indian audience.",25.0,PASS,100.0,25.0
NONIND_0201,Arenga Starch Cake,Arenga(Arengapinata)Starchcake,Non-Indian reference food,piece,60,80,100,0.75,77.7,Henry et al. GI tables (non-Indian cohort),77.7,77.7,77.7,High,0.88,100.0,Original country: Indonesia. Renamed generically for Indian audience.,arenga starchcake | Arenga Starchcake | arenga(arengapinata)starchcake | Arenga(Arengapinata)Starchcake | arengastarchcake,"Arenga Starch Cake | aka Arenga(Arengapinata)Starchcake | aliases: arenga starchcake, Arenga Starchcake, arenga(arengapinata)starchcake, Arenga(Arengapinata)Starchcake, arengastarchcake | category: Non-Indian reference food | serving_type: piece | serving_g: 80(min 60 max 100) | GI: 77.7 | GL_median: 77.7 | GL_category: High | available_carbs_g: 100 | confidence_score: 0.88 | evidence: Henry et al. GI tables (non-Indian cohort) | notes: Original country: Indonesia. Renamed generically for Indian audience.",80.0,PASS,100.0,80.0
NONIND_0203,Arenga Starch Cookie,Arenga(Arengapinata)Starchcookie,Non-Indian reference food,piece,11,15,19,0.75,47.3,Henry et al. GI tables (non-Indian cohort),47.3,47.3,47.3,High,0.88,100.0,Original country: Indonesia. Renamed generically for Indian audience.,arenga starchcookie | Arenga Starchcookie | arenga(arengapinata)starchcookie | Arenga(Arengapinata)Starchcookie | arengastarchcookie,"Arenga Starch Cookie | aka Arenga(Arengapinata)Starchcookie | aliases: arenga starchcookie, Arenga Starchcookie, arenga(arengapinata)starchcookie, Arenga(Arengapinata)Starchcookie, arengastarchcookie | category: Non-Indian reference food | serving_type: piece | serving_g: 15(min 11 max 19) | GI: 47.3 | GL_median: 47.3 | GL_category: High | available_carbs_g: 100 | confidence_score: 0.88 | evidence: Henry et al. GI tables (non-Indian cohort) | notes: Original country: Indonesia. Renamed generically for Indian audience.",15.0,PASS,100.0,15.0
NONIND_0158,Arrowroot,Arrowroot(Marantaarundinacealinn.,Non-Indian reference food,portion,105,150,195,0.5,14.0,Henry et al. GI tables (non-Indian cohort),0.77,0.77,0.77,Low,0.88,5.533333333,Original country: Indonesia. Renamed generically for Indian audience.,Arrowroot(Marantaarundinacealinn. | arrowroot(marantaarundinacealinn,"Arrowroot | aka Arrowroot(Marantaarundinacealinn. | aliases: Arrowroot(Marantaarundinacealinn., arrowroot(marantaarundinacealinn | category: Non-Indian reference food | serving_type: portion | serving_g: 150(min 105 max 195) | GI: 14 | GL_median: 0.77 | GL_category: Low | available_carbs_g: 5.5333 | confidence_score: 0.88 | evidence: Henry et al. GI tables (non-Indian cohort) | notes: Original country: Indonesia. Renamed generically for Indian audience.",8.3,PASS,5.533333333,8.3
NONIND_0168,Arrowrootoyek,Arrowrootoyek,Non-Indian reference food,portion,105,150,195,0.5,41.0,Henry et al. GI tables (non-Indian cohort),20.72,20.72,20.72,High,0.88,50.53333333,Original country: Indonesia. Renamed generically for Indian audience.,,Arrowrootoyek | category: Non-Indian reference food | serving_type: portion | serving_g: 150(min 105 max 195) | GI: 41 | GL_median: 20.72 | GL_category: High | available_carbs_g: 50.5333 | confidence_score: 0.88 | evidence: Henry et al. GI tables (non-Indian cohort) | notes: Original country: Indonesia. Renamed generically for Indian audience.,75.8,PASS,50.53333333,75.8
NONIND_0171,Arrowroottiwul,Arrowroottiwul(Garut),Non-Indian reference food,portion,105,150,195,0.5,40.0,Henry et al. GI tables (non-Indian cohort),19.44,19.44,19.44,Medium,0.88,48.6,Original country: Indonesia. Renamed generically for Indian audience.,Arrowroottiwul(Garut) | arrowroottiwul(garut),"Arrowroottiwul | aka Arrowroottiwul(Garut) | aliases: Arrowroottiwul(Garut), arrowroottiwul(garut) | category: Non-Indian reference food | serving_type: portion | serving_g: 150(min 105 max 195) | GI: 40 | GL_median: 19.44 | GL_category: Medium | available_carbs_g: 48.6 | confidence_score: 0.88 | evidence: Henry et al. GI tables (non-Indian cohort) | notes: Original country: Indonesia. Renamed generically for Indian audience.",72.9,PASS,48.6,72.9
NONIND_0740,Arseyah,Arseyah,Non-Indian reference food,portion,105,150,195,0.5,72.0,Henry et al. GI tables (non-Indian cohort),4.75,4.75,4.75,Low,0.88,6.6,Original country: UnitedArab. Renamed generically for Indian audience.,,Arseyah | category: Non-Indian reference food | serving_type: portion | serving_g: 150(min 105 max 195) | GI: 72 | GL_median: 4.75 | GL_category: Low | available_carbs_g: 6.6 | confidence_score: 0.88 | evidence: Henry et al. GI tables (non-Indian cohort) | notes: Original country: UnitedArab. Renamed generically for Indian audience.,9.9,PASS,6.6,9.9
NONIND_0585,Atta Flour Roti,Attaflourroti,Non-Indian reference food,piece,22,30,38,0.8,67.0,Henry et al. GI tables (non-Indian cohort),36.85,28.81,45.56,High,0.88,100.0,Original country: SriLanka. Renamed generically for Indian audience.,Attaflourroti | attaflourroti,"Atta Flour Roti | aka Attaflourroti | aliases: Attaflourroti, attaflourroti | category: Non-Indian reference food | serving_type: piece | serving_g: 30(min 22 max 38) | GI: 67 | GL_median: 36.85 | GL_category: High | available_carbs_g: 100 | confidence_score: 0.88 | evidence: Henry et al. GI tables (non-Indian cohort) | notes: Original country: SriLanka. Renamed generically for Indian audience.",30.0,PASS,100.0,30.0
NONIND_0610,Attarotimeal with Accompaniments,Attarotimeal+Accompaniments,Non-Indian reference food,portion,105,150,195,0.5,88.0,Henry et al. GI tables (non-Indian cohort),5.42,4.24,6.7,Low,0.88,11.2,Original country: SriLanka. Renamed generically for Indian audience.,attarotimeal accompaniments | Attarotimeal+Accompaniments | attarotimealaccompaniments,"Attarotimeal with Accompaniments | aka Attarotimeal+Accompaniments | aliases: attarotimeal accompaniments, Attarotimeal+Accompaniments, attarotimealaccompaniments | category: Non-Indian reference food | serving_type: portion | serving_g: 150(min 105 max 195) | GI: 88 | GL_median: 5.42 | GL_category: Low | available_carbs_g: 11.2 | confidence_score: 0.88 | evidence: Henry et al. GI tables (non-Indian cohort) | notes: Original country: SriLanka. Renamed generically for Indian audience.",16.8,PASS,11.2,16.8
NONIND_0298,Avocado,Avocado,Non-Indian reference food,portion,105,150,195,0.5,31.0,Henry et al. GI tables (non-Indian cohort),1.82,1.82,1.82,Low,0.88,5.866666667,Original country: Philippines. Renamed generically for Indian audience.,,Avocado | category: Non-Indian reference food | serving_type: portion | serving_g: 150(min 105 max 195) | GI: 31 | GL_median: 1.82 | GL_category: Low | available_carbs_g: 5.8667 | confidence_score: 0.88 | evidence: Henry et al. GI tables (non-Indian cohort) | notes: Original country: Philippines. Renamed generically for Indian audience.,8.8,PASS,5.866666667,8.8
NONIND_0393,Bagel,Bagel,Non-Indian reference food,portion,105,150,195,0.5,77.4,Henry et al. GI tables (non-Indian cohort),24.77,24.77,24.77,High,0.88,32.0,Original country: Korea. Renamed generically for Indian audience.,,Bagel | category: Non-Indian reference food | serving_type: portion | serving_g: 150(min 105 max 195) | GI: 77.4 | GL_median: 24.77 | GL_category: High | available_carbs_g: 32 | confidence_score: 0.88 | evidence: Henry et al. GI tables (non-Indian cohort) | notes: Original country: Korea. Renamed generically for Indian audience.,48.0,PASS,32.0,48.0
T2_0012,Bajra,Pearl millet (cooked),Grains & staples,plate,120,150,180,0.55,58.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,8.89,8.89,8.89,Low,0.85,15.33333333,Cooked bajra grain.,pearl millet (cooked) | Pearl millet (cooked) | pearl millet | Pearl millet | pearlmillet(cooked) | pearlmillet,"Bajra | aka Pearl millet (cooked) | aliases: pearl millet (cooked), Pearl millet (cooked), pearl millet, Pearl millet, pearlmillet(cooked), pearlmillet | category: Grains & staples | serving_type: plate | serving_g: 150(min 120 max 180) | GI: 58 | GL_median: 8.89 | GL_category: Low | available_carbs_g: 15.3333 | confidence_score: 0.85 | evidence: Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g. | notes: Cooked bajra grain.",23.0,PASS,15.33333333,23.0
T2_0006,Bajra Bhakri,Bajra bhakri,Breads & flatbreads,portion,105,150,195,0.5,56.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,11.2,11.2,11.2,Medium,0.84,20.0,Thicker roti; estimated.,bajrabhakri,Bajra Bhakri | aka Bajra bhakri | aliases: bajrabhakri | category: Breads & flatbreads | serving_type: portion | serving_g: 150(min 105 max 195) | GI: 56 | GL_median: 11.2 | GL_category: Medium | available_carbs_g: 20 | confidence_score: 0.84 | evidence: Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g. | notes: Thicker roti; estimated.,30.0,PASS,20.0,30.0
T2_0019,Bajra Dosa,Bajra dosa (plain),Mixed meals,piece,90,120,150,0.75,73.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,9.74,4.26,18.86,Low,0.82,16.66666667,Batter-based; estimated.,bajra dosa (plain) | Bajra dosa (plain) | bajradosa(plain) | bajradosa,"Bajra Dosa | aka Bajra dosa (plain) | aliases: bajra dosa (plain), Bajra dosa (plain), bajradosa(plain), bajradosa | category: Mixed meals | serving_type: piece | serving_g: 120(min 90 max 150) | GI: 73 | GL_median: 9.74 | GL_category: Low | available_carbs_g: 16.6667 | confidence_score: 0.82 | evidence: Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g. | notes: Batter-based; estimated.",20.0,PASS,16.66666667,20.0
T1_1774,Bajra Eaten As,"Bajra (Penniseteum typhoideum), eaten as",Grains & staples,plate,120,150,180,0.55,49.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #1774",21.78,21.78,21.78,High,0.92,44.44666667,Normalized to 100g from table serving 75g with 50g available carbs and GL 25.,"Bajra (Penniseteum typhoideum), eaten as | bajra (penniseteum typhoideum), eaten as | Bajra  , eaten as | bajra , eaten as | Bajra (Penniseteum typhoideum) | bajra (penniseteum typhoideum) | eaten as | bajra,eatenas | bajraeatenas | eatenas","Bajra Eaten As | aka Bajra (Penniseteum typhoideum), eaten as | aliases: Bajra (Penniseteum typhoideum)  eaten as, bajra (penniseteum typhoideum)  eaten as, Bajra    eaten as, bajra   eaten as, Bajra (Penniseteum typhoideum), bajra (penniseteum typhoideum), eaten as, bajra eatenas, bajraeatenas, eatenas | category: Grains & staples | serving_type: plate | serving_g: 150(min 120 max 180) | GI: 49 | GL_median: 21.78 | GL_category: High | available_carbs_g: 44.4467 | confidence_score: 0.92 | evidence: Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #1774 | notes: Normalized to 100g from table serving 75g with 50g available carbs and GL 25.",66.67,PASS,44.44666667,66.67
