food_id,canonical_name,primary_category,gi,gi_evidence,gl_median,gl_min,gl_max,gl_category,confidence_score,serving_size_g,available_carbs_g,notes
BASE_0011,Burger Cheese,Western mains,55,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,13.9,11.1,16.7,Medium,0.75,100,25.3,Distinct base dish; GI/GL computed from burger recipe anchor.
BASE_0012,Club Sandwich,Western mains,57,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,19.2,15.4,23.0,Medium,0.75,100,33.7,Distinct base dish; GI/GL computed from sandwich recipe anchor.
BASE_0013,Grilled Cheese Sandwich,Western mains,57,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,15.7,12.6,18.8,Medium,0.75,100,27.5,Distinct base dish; GI/GL computed from sandwich recipe anchor.
BASE_0014,Chicken Sandwich,Western mains,57,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,15.1,12.1,18.1,Medium,0.75,100,26.5,Distinct base dish; GI/GL computed from sandwich recipe anchor.
BASE_0015,Veg Sandwich,Western mains,57,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,16.0,12.8,19.2,Medium,0.75,100,28.1,Distinct base dish; GI/GL computed from sandwich recipe anchor.
BASE_0016,Wrap Veg,Western mains,56,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,13.2,10.6,15.8,Medium,0.75,100,23.6,Distinct base dish; GI/GL computed from wrap recipe anchor.
BASE_0017,Wrap Chicken,Western mains,56,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,12.5,10.0,15.0,Medium,0.75,100,22.3,Distinct base dish; GI/GL computed from wrap recipe anchor.
BASE_0018,Wrap Paneer,Western mains,56,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,12.5,10.0,15.0,Medium,0.75,100,22.3,Distinct base dish; GI/GL computed from wrap recipe anchor.
BASE_0019,Quesadilla Cheese,Western mains,56,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,12.9,10.3,15.5,Medium,0.75,100,23.1,Distinct base dish; GI/GL computed from wrap recipe anchor.
BASE_0020,Quesadilla Chicken,Western mains,56,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,12.5,10.0,15.0,Medium,0.75,100,22.3,Distinct base dish; GI/GL computed from wrap recipe anchor.
BASE_0021,Pasta White Sauce,Western mains,40,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,9.7,7.8,11.6,Low,0.75,100,24.2,Distinct base dish; GI/GL computed from pasta recipe anchor.
BASE_0022,Pasta Red Sauce,Western mains,40,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,9.7,7.8,11.6,Low,0.75,100,24.2,Distinct base dish; GI/GL computed from pasta recipe anchor.
BASE_0023,Pasta Pesto,Western mains,40,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,9.7,7.8,11.6,Low,0.75,100,24.2,Distinct base dish; GI/GL computed from pasta recipe anchor.
BASE_0024,Pasta Alfredo,Western mains,40,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,9.7,7.8,11.6,Low,0.75,100,24.2,Distinct base dish; GI/GL computed from pasta recipe anchor.
BASE_0025,Mac and Cheese,Western mains,40,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,8.5,6.8,10.2,Low,0.75,100,21.3,Distinct base dish; GI/GL computed from pasta recipe anchor.
BASE_0026,Lasagne Veg,Western mains,40,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,8.7,7.0,10.4,Low,0.75,100,21.8,Distinct base dish; GI/GL computed from pasta recipe anchor.
BASE_0027,Lasagne Chicken,Western mains,40,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,8.2,6.6,9.8,Low,0.75,100,20.6,Distinct base dish; GI/GL computed from pasta recipe anchor.
BASE_0028,Instant Noodles Veg,Western mains,45,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,7.9,6.3,9.5,Low,0.75,100,17.6,Distinct base dish; GI/GL computed from noodles recipe anchor.
BASE_0029,Instant Noodles Chicken,Western mains,45,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,7.5,6.0,9.0,Low,0.75,100,16.6,Distinct base dish; GI/GL computed from noodles recipe anchor.
BASE_0030,Ramen Veg,Western mains,45,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,7.9,6.3,9.5,Low,0.75,100,17.6,Distinct base dish; GI/GL computed from noodles recipe anchor.
BASE_0031,Ramen Chicken,Western mains,45,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,7.5,6.0,9.0,Low,0.75,100,16.6,Distinct base dish; GI/GL computed from noodles recipe anchor.
BASE_0032,Burrito Veg,Western mains,56,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,10.4,8.3,12.5,Medium,0.75,100,18.5,Distinct base dish; GI/GL computed from rice_bowl recipe anchor.
BASE_0033,Burrito Chicken,Western mains,56,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,9.8,7.8,11.8,Low,0.75,100,17.5,Distinct base dish; GI/GL computed from rice_bowl recipe anchor.
BASE_0034,Tacos Veg,Western mains,56,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,13.2,10.6,15.8,Medium,0.75,100,23.6,Distinct base dish; GI/GL computed from wrap recipe anchor.
BASE_0035,Tacos Chicken,Western mains,56,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,12.5,10.0,15.0,Medium,0.75,100,22.3,Distinct base dish; GI/GL computed from wrap recipe anchor.
BASE_0036,Nachos with Cheese,Western mains,56,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,12.9,10.3,15.5,Medium,0.75,100,23.1,Distinct base dish; GI/GL computed from wrap recipe anchor.
BASE_0037,Sushi Veg,Western mains,70,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,13.0,10.4,15.6,Medium,0.75,100,18.5,Distinct base dish; GI/GL computed from rice_bowl recipe anchor.
BASE_0038,Sushi Salmon,Western mains,70,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,14.4,11.5,17.3,Medium,0.75,100,20.6,Distinct base dish; GI/GL computed from rice_bowl recipe anchor.
BASE_0039,French Fries,Western sides,64,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,22.4,17.9,26.9,High,0.75,100,35.0,Distinct base dish; GI/GL computed from fries recipe anchor.
BASE_0040,Peri Peri Fries,Western sides,64,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,22.4,17.9,26.9,High,0.75,100,35.0,Distinct base dish; GI/GL computed from fries recipe anchor.
BASE_0041,Potato Wedges,Western sides,64,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,22.4,17.9,26.9,High,0.75,100,35.0,Distinct base dish; GI/GL computed from fries recipe anchor.
BASE_0042,Hash Brown,Western sides,64,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,22.4,17.9,26.9,High,0.75,100,35.0,Distinct base dish; GI/GL computed from fries recipe anchor.
BASE_0043,Baked Potato,Western sides,78,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,16.4,13.1,19.7,Medium,0.75,100,21.0,Distinct base dish; GI/GL computed from potato recipe anchor.
BASE_0044,Mashed Potato,Western sides,78,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,16.4,13.1,19.7,Medium,0.75,100,21.0,Distinct base dish; GI/GL computed from potato recipe anchor.
BASE_0045,Onion Rings,Western sides,64,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,22.4,17.9,26.9,High,0.75,100,35.0,Distinct base dish; GI/GL computed from fries recipe anchor.
BASE_0046,Chicken Nuggets,Western sides,64,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,19.1,15.3,22.9,Medium,0.75,100,29.8,Distinct base dish; GI/GL computed from fries recipe anchor.
BASE_0047,Fish Fingers,Western sides,57,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,17.0,13.6,20.4,Medium,0.75,100,29.8,Distinct base dish; GI/GL computed from fries recipe anchor.
BASE_0048,Corn Flakes with Milk,Western breakfast,75,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,19.0,15.2,22.8,Medium,0.75,100,25.4,Distinct base dish; GI/GL computed from cereal recipe anchor.
BASE_0049,Choco Flakes with Milk,Western breakfast,57,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,16.1,12.9,19.3,Medium,0.75,100,28.2,Distinct base dish; GI/GL computed from cereal recipe anchor.
BASE_0050,Granola with Milk,Western breakfast,75,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,21.2,17.0,25.4,High,0.75,100,28.2,Distinct base dish; GI/GL computed from cereal recipe anchor.
BASE_0051,Oats Porridge,Western breakfast,55,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,6.6,5.3,7.9,Low,0.75,100,12.0,Distinct base dish; GI/GL computed from oats recipe anchor.
BASE_0052,Pancake,Western breakfast,65,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,24.0,19.2,28.8,High,0.75,100,37.0,Distinct base dish; GI/GL computed from cake recipe anchor.
BASE_0053,Waffle,Western breakfast,65,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,24.0,19.2,28.8,High,0.75,100,37.0,Distinct base dish; GI/GL computed from cake recipe anchor.
BASE_0054,Croissant,Western breakfast,60,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,22.2,17.8,26.6,High,0.75,100,37.0,Distinct base dish; GI/GL computed from cake recipe anchor.
BASE_0055,Chocolate Cake,Western desserts,65,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,24.0,19.2,28.8,High,0.75,100,37.0,Distinct base dish; GI/GL computed from cake recipe anchor.
BASE_0056,Vanilla Cake,Western desserts,65,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,24.0,19.2,28.8,High,0.75,100,37.0,Distinct base dish; GI/GL computed from cake recipe anchor.
BASE_0057,Chocolate Brownie,Western desserts,60,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,22.1,17.7,26.5,High,0.75,100,36.8,Distinct base dish; GI/GL computed from brownie recipe anchor.
BASE_0058,Brownie with Ice Cream,Western desserts,60,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,22.1,17.7,26.5,High,0.75,100,36.8,Distinct base dish; GI/GL computed from brownie recipe anchor.
BASE_0059,Cheesecake,Western desserts,65,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,21.2,17.0,25.4,High,0.75,100,32.6,Distinct base dish; GI/GL computed from cake recipe anchor.
BASE_0060,Donut Glazed,Western desserts,76,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,29.4,23.5,35.3,High,0.75,100,38.7,Distinct base dish; GI/GL computed from donut recipe anchor.
BASE_0061,Donut Chocolate,Western desserts,76,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,29.4,23.5,35.3,High,0.75,100,38.7,Distinct base dish; GI/GL computed from donut recipe anchor.
BASE_0062,Cupcake,Western desserts,65,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,24.0,19.2,28.8,High,0.75,100,37.0,Distinct base dish; GI/GL computed from cake recipe anchor.
BASE_0063,Muffin,Western desserts,60,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,22.2,17.8,26.6,High,0.75,100,37.0,Distinct base dish; GI/GL computed from cake recipe anchor.
BASE_0064,Ice Cream Vanilla,Western desserts,55,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,12.9,10.3,15.5,Medium,0.75,100,23.5,Distinct base dish; GI/GL computed from icecream recipe anchor.
BASE_0065,Ice Cream Chocolate,Western desserts,65,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,15.3,12.2,18.4,Medium,0.75,100,23.5,Distinct base dish; GI/GL computed from icecream recipe anchor.
BASE_0066,Soft Drink Cola,Western beverages,65,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,7.5,6.0,9.0,Low,0.75,100,11.5,Distinct base dish; GI/GL computed from coffee_sweet recipe anchor.
BASE_0067,Soft Drink Orange,Western beverages,65,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,7.5,6.0,9.0,Low,0.75,100,11.5,Distinct base dish; GI/GL computed from coffee_sweet recipe anchor.
BASE_0068,Cold Coffee Sweetened,Western beverages,45,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,5.2,4.2,6.2,Low,0.75,100,11.5,Distinct base dish; GI/GL computed from coffee_sweet recipe anchor.
BASE_0069,Cold Coffee Unsweetened,Western beverages,30,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,1.4,1.1,1.7,Low,0.75,100,4.5,Distinct base dish; GI/GL computed from coffee_plain recipe anchor.
BASE_0070,Cappuccino Unsweetened,Western beverages,30,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,1.4,1.1,1.7,Low,0.75,100,4.5,Distinct base dish; GI/GL computed from coffee_plain recipe anchor.
BASE_0071,Latte Unsweetened,Western beverages,30,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,1.4,1.1,1.7,Low,0.75,100,4.5,Distinct base dish; GI/GL computed from coffee_plain recipe anchor.
BASE_0072,Milkshake Chocolate,Western beverages,65,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,10.4,8.3,12.5,Medium,0.75,100,16.0,Distinct base dish; GI/GL computed from milkshake recipe anchor.
BASE_0073,Milkshake Vanilla,Western beverages,55,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,8.8,7.0,10.6,Low,0.75,100,16.0,Distinct base dish; GI/GL computed from milkshake recipe anchor.
BASE_0074,Hot Chocolate,Western beverages,65,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,10.4,8.3,12.5,Medium,0.75,100,16.0,Distinct base dish; GI/GL computed from milkshake recipe anchor.
BASE_0075,Iced Tea Sweetened,Western beverages,65,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,7.5,6.0,9.0,Low,0.75,100,11.5,Distinct base dish; GI/GL computed from coffee_sweet recipe anchor.
BASE_0076,Focaccia Bread,Western mains,57,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,17.8,14.2,21.4,Medium,0.72,100,31.2,Distinct base dish; GI/GL computed from sandwich recipe anchor.
BASE_0077,Garlic Bread,Western mains,57,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,17.8,14.2,21.4,Medium,0.72,100,31.2,Distinct base dish; GI/GL computed from sandwich recipe anchor.
BASE_0078,Panini Veg,Western mains,57,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,16.0,12.8,19.2,Medium,0.72,100,28.1,Distinct base dish; GI/GL computed from sandwich recipe anchor.
BASE_0079,Panini Chicken,Western mains,57,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,15.1,12.1,18.1,Medium,0.72,100,26.5,Distinct base dish; GI/GL computed from sandwich recipe anchor.
BASE_0080,Flatbread Sandwich,Western mains,57,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,17.8,14.2,21.4,Medium,0.72,100,31.2,Distinct base dish; GI/GL computed from sandwich recipe anchor.
BASE_0081,Stuffed Crust Pizza,Western mains,58,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,14.3,11.4,17.2,Medium,0.72,100,24.7,Distinct base dish; GI/GL computed from pizza recipe anchor.
BASE_0082,Sicilian Pizza,Western mains,58,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,14.3,11.4,17.2,Medium,0.72,100,24.7,Distinct base dish; GI/GL computed from pizza recipe anchor.
BASE_0083,Neapolitan Pizza,Western mains,58,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,14.3,11.4,17.2,Medium,0.72,100,24.7,Distinct base dish; GI/GL computed from pizza recipe anchor.
BASE_0084,Udon Noodles,Western mains,45,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,8.8,7.0,10.6,Low,0.72,100,19.5,Distinct base dish; GI/GL computed from noodles recipe anchor.
BASE_0085,Soba Noodles,Western mains,45,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,8.8,7.0,10.6,Low,0.72,100,19.5,Distinct base dish; GI/GL computed from noodles recipe anchor.
BASE_0086,Potato Skins,Western mains,78,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,16.4,13.1,19.7,Medium,0.72,100,21.0,Distinct base dish; GI/GL computed from potato recipe anchor.
BASE_0087,Loaded Potato,Western mains,78,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,16.4,13.1,19.7,Medium,0.72,100,21.0,Distinct base dish; GI/GL computed from potato recipe anchor.
BASE_0088,Blondie Dessert,Western mains,57,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,21.1,16.9,25.3,High,0.72,100,37.0,Distinct base dish; GI/GL computed from cake recipe anchor.
BASE_0089,Chocolate Mousse,Western mains,65,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,24.0,19.2,28.8,High,0.72,100,37.0,Distinct base dish; GI/GL computed from cake recipe anchor.
BASE_0090,Danish Pastry,Western mains,60,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,22.2,17.8,26.6,High,0.72,100,37.0,Distinct base dish; GI/GL computed from cake recipe anchor.
BASE_0091,Eclair,Western mains,60,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,22.2,17.8,26.6,High,0.72,100,37.0,Distinct base dish; GI/GL computed from cake recipe anchor.
BASE_0092,Protein Bar Sweetened,Western mains,57,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,21.1,16.9,25.3,High,0.72,100,37.0,Distinct base dish; GI/GL computed from cake recipe anchor.
BASE_0093,Cereal Bar,Western mains,75,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,27.8,22.2,33.4,High,0.72,100,37.0,Distinct base dish; GI/GL computed from cake recipe anchor.
BASE_0094,Breakfast Sandwich,Western mains,57,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,17.8,14.2,21.4,Medium,0.72,100,31.2,Distinct base dish; GI/GL computed from sandwich recipe anchor.
BASE_0095,Rice Bowl Veg,Western mains,73,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,13.5,10.8,16.2,Medium,0.72,100,18.5,Distinct base dish; GI/GL computed from rice_bowl recipe anchor.
BASE_0096,Rice Bowl Chicken,Western mains,73,Category-level GI from international GI tables (grain/matrix-driven). GL recalculated using dish-specific carb density per 100 g (toppings displace carbs).,12.8,10.2,15.4,Medium,0.72,100,17.5,Distinct base dish; GI/GL computed from rice_bowl recipe anchor.
