food_id,canonical_name,canonical_name_original,primary_category,gi,gi_evidence,gl_median,gl_min,gl_max,gl_category,confidence_score,serving_size_g,available_carbs_g,notes
NONIND_0203,Arenga Starch Cookie,Arenga(Arengapinata)Starchcookie,Non-Indian reference food,47.3,Henry et al. GI tables (non-Indian cohort),32.9,29.6,36.1,High,0.88,100,69.4,Original country: Indonesia. Renamed generically for Indian audience.
NONIND_0158,Arrowroot,Arrowroot(Marantaarundinacealinn.,Non-Indian reference food,14.0,Henry et al. GI tables (non-Indian cohort),1.2,1.0,1.3,Low,0.88,100,8.3,Original country: Indonesia. Renamed generically for Indian audience.
NONIND_0168,Arrowrootoyek,Arrowrootoyek,Non-Indian reference food,41.0,Henry et al. GI tables (non-Indian cohort),31.1,28.0,34.2,High,0.88,100,75.8,Original country: Indonesia. Renamed generically for Indian audience.
NONIND_0171,Arrowroottiwul,Arrowroottiwul(Garut),Non-Indian reference food,40.0,Henry et al. GI tables (non-Indian cohort),29.2,26.2,32.1,High,0.88,100,72.9,Original country: Indonesia. Renamed generically for Indian audience.
NONIND_0740,Arseyah,Arseyah,Non-Indian reference food,72.0,Henry et al. GI tables (non-Indian cohort),7.1,6.4,7.8,Low,0.88,100,9.9,Original country: UnitedArab. Renamed generically for Indian audience.
NONIND_0585,Atta Flour Roti,Attaflourroti,Non-Indian reference food,67.0,Henry et al. GI tables (non-Indian cohort),26.8,24.1,29.5,High,0.88,100,40.0,Original country: SriLanka. Renamed generically for Indian audience.
NONIND_0610,Attarotimeal with Accompaniments,Attarotimeal+Accompaniments,Non-Indian reference food,88.0,Henry et al. GI tables (non-Indian cohort),14.8,13.3,16.2,Medium,0.88,100,16.8,Original country: SriLanka. Renamed generically for Indian audience.
NONIND_0298,Avocado,Avocado,Non-Indian reference food,31.0,Henry et al. GI tables (non-Indian cohort),2.7,2.4,3.0,Low,0.88,100,8.8,Original country: Philippines. Renamed generically for Indian audience.
NONIND_0393,Bagel,Bagel,Non-Indian reference food,77.4,Henry et al. GI tables (non-Indian cohort),37.2,33.5,40.9,High,0.88,100,48.0,Original country: Korea. Renamed generically for Indian audience.
T3_0011,Baingan Bharta,Baingan bharta,Mixed meals,20.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,1.2,0.9,1.5,Low,0.75,100,6.0,Roasted eggplant; low carbs.
T2_0012,Bajra,Pearl millet (cooked),Grains & staples,58.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,13.34,11.34,15.34,Medium,0.85,100,23.0,Cooked bajra grain.
T2_0006,Bajra Bhakri,Bajra bhakri,Breads & flatbreads,56.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,16.8,14.11,19.49,Medium,0.84,100,30.0,Thicker roti; estimated.
T2_0019,Bajra Dosa,Bajra dosa (plain),Mixed meals,73.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,14.6,11.97,17.23,Medium,0.82,100,20.0,Batter-based; estimated.
T1_1774,Bajra Eaten As,"Bajra (Penniseteum typhoideum), eaten as",Grains & staples,49.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #1774",33.33,30.66,36.0,High,0.92,100,66.67,Normalized to 100g from table serving 75g with 50g available carbs and GL 25.
T2_0022,Bajra Idli,Bajra idli (plain),Mixed meals,74.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,13.32,10.92,15.72,Medium,0.82,100,18.0,Steamed batter item; estimated.
T2_0028,Bajra Khichdi,Bajra khichdi (bajra + moong),Mixed meals,55.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,9.9,7.82,11.98,Low,0.79,100,18.0,Weighted GI; recipe-based.
T2_0015,Bajra Porridge,Bajra porridge (unsweetened),Grains & staples,55.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,6.6,5.48,7.72,Low,0.83,100,12.0,Diluted porridge; GL lower per 100g.
T2_0032,Bajra Puttu,Bajra puttu (plain),Mixed meals,63.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,16.38,13.1,19.66,Medium,0.8,100,26.0,Steamed bajra preparation.
T2_0003,Bajra Roti,Bajra roti (pearl millet roti),Breads & flatbreads,54.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,15.66,13.31,18.01,Medium,0.85,100,29.0,Millet roti; GL estimated using cooked roti carb density.
T3_0078,Bajra Roti with Curry,Bajra roti + curry,Mixed meals,56.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,10.08,6.65,13.51,Medium,0.66,100,18.0,Roti + curry; weighted.
NONIND_0515,Baked Barbecuedporkpuff,Bakedbarbecuedporkpuff,Non-Indian reference food,55.0,Henry et al. GI tables (non-Indian cohort),17.1,15.4,18.8,Medium,0.88,100,31.1,Original country: Hong. Renamed generically for Indian audience.
NONIND_0404,Baked Chestnuts,Bakedchestnuts,Non-Indian reference food,54.3,Henry et al. GI tables (non-Indian cohort),20.1,18.1,22.2,High,0.88,100,37.1,Original country: Korea. Renamed generically for Indian audience.
NONIND_0402,Baked Sweet Potato Es,Bakedsweetpotatoes,Non-Indian reference food,90.9,Henry et al. GI tables (non-Indian cohort),28.4,25.5,31.2,High,0.88,100,31.2,Original country: Korea. Renamed generically for Indian audience.
T4_0119,Bakery Bread,Bakery bread (sweet),Breads & flatbreads,75.0,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,33.75,17.55,49.95,High,0.52,100,45.0,Sweetened bread.
T4_0120,Bakery Cake,Bakery cake (assorted),Sweets & desserts,80.0,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,36.0,18.0,54.0,High,0.5,100,45.0,Highly variable.
T4_0121,Bakery Cookie S,Bakery cookies,Sweets & desserts,75.0,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,37.5,18.75,56.25,High,0.5,100,50.0,Refined flour + sugar.
NONIND_0745,Balalet,Balalet,Non-Indian reference food,63.0,Henry et al. GI tables (non-Indian cohort),17.6,15.8,19.3,Medium,0.88,100,27.9,Original country: UnitedArab. Renamed generically for Indian audience.
IND_HENRY2021_605,Banana,Banana (yallakki),Fruits,43.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 117; n=10 Healthy; ref food/time: Glucose/2h participants; portion 120 g provides 25 g available carbs (table page 21).",9.0,8.28,9.72,Low,0.92,100,20.8,Computed carbs per 100 g using study portion: 25 g available carbs in 120 g portion. GI variability (SEM/SD) not reported in row.
NONIND_0281,Banana Lakatan,"Banana,Lakatan",Non-Indian reference food,62.0,Henry et al. GI tables (non-Indian cohort),17.2,15.5,18.9,Medium,0.88,100,27.8,Original country: Philippines. Renamed generically for Indian audience.
T1_1775,Banana Nendra Variety,"Banana, (Musa sapientum), Nendra variety",Fruits,70.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #1775",25.83,23.76,27.9,High,0.92,100,37.5,Normalized to 100g from table serving 120g with 45g available carbs and GL 31.
NONIND_0282,Banana Saba,"Banana,Saba",Non-Indian reference food,53.0,Henry et al. GI tables (non-Indian cohort),16.5,14.8,18.1,Medium,0.88,100,31.1,Original country: Philippines. Renamed generically for Indian audience.
NONIND_0528,Barbecuepork Bun,Barbecueporkbun,Non-Indian reference food,69.0,Henry et al. GI tables (non-Indian cohort),29.0,26.1,31.9,High,0.88,100,42.0,Original country: Hong. Renamed generically for Indian audience.
T3_0126,Barfi,Barfi (milk),Sweets & desserts,80.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,28.0,16.24,39.76,High,0.58,100,35.0,Milk fudge; recipe-based.
NONIND_0081,Bariocelum Rice,Bariocelumrice,Non-Indian reference food,60.9,Henry et al. GI tables (non-Indian cohort),60.9,54.8,67.0,High,0.88,100,100.0,Original country: Malaysia. Renamed generically for Indian audience.
NONIND_0082,Bariotuan Rice,Bariotuanrice,Non-Indian reference food,62.2,Henry et al. GI tables (non-Indian cohort),62.2,56.0,68.4,High,0.88,100,100.0,Original country: Malaysia. Renamed generically for Indian audience.
T1_1776,Barley,Barley (Hordeum vulgare),Grains & staples,48.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #1776",10.67,9.82,11.52,Medium,0.92,100,24.67,Normalized to 100g from table serving 150g with 37g available carbs and GL 16.
T1_0118,Barley Bread High Amylose Barley Flour and,"Barley bread, 70% high-amylose barley flour and",Grains & staples,49.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #118",20.0,18.4,21.6,High,0.92,100,40.0,Normalized to 100g from table serving 30g with 12g available carbs and GL 6.
NONIND_0018,Barley Drink,Barleydrink,Non-Indian reference food,62.0,Henry et al. GI tables (non-Indian cohort),4.7,4.2,5.2,Low,0.88,100,7.6,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0037,Barley Flour Muffin,Barleyflourmuffin,Non-Indian reference food,55.4,Henry et al. GI tables (non-Indian cohort),19.8,17.8,21.8,Medium,0.88,100,35.8,Original country: Singapore. Renamed generically for Indian audience.
T1_0306,Barley Flour Porridge Made From Milled Dehulled Barley,"Barley flour porridge, made from milled dehulled barley",Grains & staples,46.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #306",30.0,27.6,32.4,High,0.92,100,64.0,Normalized to 100g from table serving 50g with 32g available carbs and GL 15.
T1_0307,Barley Flour Porridge Made From Milled High Amylose,"Barley flour porridge, made from milled high-amylose",Grains & staples,39.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #307",22.0,20.24,23.76,High,0.92,100,56.0,Normalized to 100g from table serving 50g with 28g available carbs and GL 11.
T1_0489,Barley Kernels Boiled in Water for,"Barley kernels, boiled in water for",Grains & staples,25.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #489",6.67,6.14,7.2,Low,0.92,100,28.0,Normalized to 100g from table serving 150g with 42g available carbs and GL 10.
T1_0487,Barley Kernels High Amylose Boiled in,"Barley kernels, high-amylose (hull-less) boiled in",Grains & staples,20.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #487",5.33,4.9,5.76,Low,0.92,100,28.0,Normalized to 100g from table serving 150g with 42g available carbs and GL 8.
T1_0488,Barley Kernels Waxy Boiled in Water,"Barley kernels, waxy (hull-less), boiled in water",Grains & staples,22.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #488",6.0,5.52,6.48,Low,0.92,100,28.0,Normalized to 100g from table serving 150g with 42g available carbs and GL 9.
T1_0492,Barley Pearled Boiled,"Barley, pearled, boiled",Grains & staples,60.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #492",10.0,9.2,10.8,Low,0.92,100,28.0,Normalized to 100g from table serving 150g with 42g available carbs and GL 15.
T1_0309,Barley Porridge Made From S Tea Med Thick,Barley porridge made from steamed thick (1.0 mm),Grains & staples,65.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #309",36.0,33.12,38.88,High,0.92,100,56.0,Normalized to 100g from table serving 50g with 28g available carbs and GL 18.
T1_0308,Barley Porridge Made From S Tea Med Thin,Barley porridge made from steamed thin (0.5 mm),Grains & staples,62.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #308",34.0,31.28,36.72,High,0.92,100,56.0,Normalized to 100g from table serving 50g with 28g available carbs and GL 17.
T1_0494,Barley Pot Boiled,"Barley, pot, boiled",Grains & staples,20.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #494",10.67,9.82,11.52,Medium,0.92,100,28.0,Normalized to 100g from table serving 150g with 42g available carbs and GL 16.
T1_0491,Barley Pot Boiled in Salted Water,"Barley, pot, boiled in salted water",Grains & staples,20.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #491",7.33,6.74,7.92,Low,0.92,100,28.0,Normalized to 100g from table serving 150g with 42g available carbs and GL 11.
NONIND_0381,Barley Powder,Barleypowder,Non-Indian reference food,69.8,Henry et al. GI tables (non-Indian cohort),52.1,46.9,57.3,High,0.88,100,74.6,Original country: Korea. Renamed generically for Indian audience.
T2_0010,Barnyard Millet,Barnyard millet (cooked),Grains & staples,45.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,9.45,8.13,10.77,Low,0.86,100,21.0,Cooked millet grain.
NONIND_0096,Basmati,Basmati,Non-Indian reference food,50.0,Henry et al. GI tables (non-Indian cohort),13.3,11.9,14.6,Medium,0.88,100,26.6,Original country: Malaysia. Renamed generically for Indian audience.
T1_0563,Basmati Easy Cook Boiled,"Basmati, easy cook, boiled",Grains & staples,9.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #563",18.67,17.18,20.16,Medium,0.92,100,28.0,Normalized to 100g from table serving 150g with 42g available carbs and GL 28.
NONIND_0057,Basmati Rice,"Basmatirice(Dreamrice,Singapore)",Non-Indian reference food,55.0,Henry et al. GI tables (non-Indian cohort),41.3,37.2,45.5,High,0.88,100,75.2,Original country: Singapore. Renamed generically for Indian audience.
T1_0558,Basmati White Boiled,"Basmati, white, boiled",Grains & staples,12.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #558",10.0,9.2,10.8,Low,0.92,100,18.67,Normalized to 100g from table serving 150g with 28g available carbs and GL 15.
T3_0129,Basundi,Basundi,Sweets & desserts,70.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,12.6,7.56,17.64,Medium,0.6,100,18.0,Sweetened milk; recipe-based.
NONIND_0743,Batheetha,Batheetha,Non-Indian reference food,59.0,Henry et al. GI tables (non-Indian cohort),22.6,20.3,24.8,High,0.88,100,38.2,Original country: UnitedArab. Renamed generically for Indian audience.
T1_0625,Bebe Dobre Rano with Milk,"Bebe Dobre Rano with Milk (LU, Czech Republic)",Dairy,50.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #625",36.0,33.12,38.88,High,0.92,100,72.0,Normalized to 100g from table serving 50g with 36g available carbs and GL 18.
NONIND_0020,Beehoon,Beehoon,Non-Indian reference food,35.0,Henry et al. GI tables (non-Indian cohort),28.3,25.4,31.1,High,0.88,100,80.8,Original country: Singapore. Renamed generically for Indian audience.
NONIND_0084,Berasmerah,Berasmerah(Redrice),Non-Indian reference food,78.3,Henry et al. GI tables (non-Indian cohort),78.3,70.5,86.1,High,0.88,100,100.0,Original country: Malaysia. Renamed generically for Indian audience.
NONIND_0622,Besan,Chickpea(Legume),Non-Indian reference food,33.3,Henry et al. GI tables (non-Indian cohort),9.9,8.9,10.8,Low,0.88,100,29.6,Original country: SriLanka. Renamed generically for Indian audience.
T1_0128,Besan Bread,"Chickpea flour bread, made from Amethyst-type",Pulses & legumes,55.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #128",23.33,21.46,25.2,High,0.92,100,43.33,Normalized to 100g from table serving 30g with 13g available carbs and GL 7.
T2_0092,Besan Chilla,Besan chilla (plain),Mixed meals,35.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,6.3,5.23,7.37,Low,0.83,100,18.0,Gram flour pancake; estimated.
T1_1777,Besan Dhal Besan,"besan (bengal gram) dhal, chickpea",Pulses & legumes,11.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #1777",2.67,2.46,2.88,Low,0.92,100,24.0,Normalized to 100g from table serving 150g with 36g available carbs and GL 4.
NONIND_0127,Beta Glucan Rink,"Beta-Glucandrink(Oatbeta-1,3/1,4Glucan,",Non-Indian reference food,117.0,Henry et al. GI tables (non-Indian cohort),23.4,21.1,25.7,High,0.88,100,20.0,Original country: Malaysia. Renamed generically for Indian audience.
T2_0048,Bhatura,Bhatura,Breads & flatbreads,85.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,34.0,27.2,40.8,High,0.8,100,40.0,Fried refined flour; recipe-based.
T2_0114,Bhel,"Bhel (plain, no sev)",Snacks,70.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,31.5,24.57,38.43,High,0.78,100,45.0,Puffed rice-based; recipe estimate.
T2_0122,Bhel Puri,Bhel puri (with sev),Snacks,75.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,37.5,29.25,45.75,High,0.78,100,50.0,Sev increases carbs; recipe-based.
T3_0012,Bhindi Masala,Bhindi masala,Mixed meals,25.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,1.75,1.31,2.19,Low,0.75,100,7.0,Okra; low carbs.
NONIND_0140,Big Rice Noodles From Mixedsagopalm Flour,Bigricenoodlesfrommixedsagopalmflour,Non-Indian reference food,63.1,Henry et al. GI tables (non-Indian cohort),17.9,16.1,19.7,Medium,0.88,100,28.4,Original country: Thailand. Renamed generically for Indian audience.
NONIND_0270,Bihon,Bihon(Plain Wheat Noodles),Non-Indian reference food,49.0,Henry et al. GI tables (non-Indian cohort),40.2,36.1,44.2,High,0.88,100,82.0,Original country: Philippines. Renamed generically for Indian audience.
NONIND_0738,Biryani,Biryani(Chicken),Non-Indian reference food,52.0,Henry et al. GI tables (non-Indian cohort),10.2,9.2,11.3,Medium,0.88,100,19.7,Original country: UnitedArab. Renamed generically for Indian audience.
IND_HENRY2021_643,Biscuit,Biscuit (refined wheat flour),Grains & staples,68.7,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 129; n=None None; ref food/time: Healthy Glucose/2.5h participants; portion 50 g provides 10 g available carbs (table page 22).",13.7,12.6,14.8,Medium,0.92,100,20.0,Computed carbs per 100 g using study portion: 10 g available carbs in 50 g portion. GI variability (SEM/SD) not reported in row.
IND_HENRY2021_602,Biscuits,Biscuits (crude refined wheat flour),Grains & staples,68.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 115; n=13 Healthy; ref food/time: Glucose/2.5h participants; portion 90 g provides 50 g available carbs (table page 21).",37.8,34.78,40.82,High,0.92,100,55.6,Computed carbs per 100 g using study portion: 50 g available carbs in 90 g portion. GI SEM/SD reported: 52.8.
T3_0061,Bisi Bele Bath,Bisi bele bath,Mixed meals,60.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,10.8,7.13,14.47,Medium,0.66,100,18.0,Rice+dal+veg; recipe-based.
WEST_IN_0236,Black Forest Cake,Black Forest Cake,Western foods (India) - Desserts,68.3,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,32.8,24.0,41.6,High,0.68,100,48.0,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: cake.
WEST_IN_0237,Blueberry Muffin,Blueberry Muffin,Western foods (India) - Desserts,68.3,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,32.8,24.0,41.6,High,0.68,100,48.0,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: cake.
IND_HENRY2021_616,Boiled Amaranth,Boiled Amaranth,Other,111.8,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 118; n=50 Glucose/2h; ref food/time: Grainsflourchapatti participants; portion 118 g provides 50 g available carbs (table page 21).",47.4,42.66,52.14,High,0.9,100,42.4,Computed carbs per 100 g using study portion: 50 g available carbs in 118 g portion. GI SEM/SD reported: 75.
NONIND_0363,Boiled Barley Max,Boiledbarleymax,Non-Indian reference food,24.3,Henry et al. GI tables (non-Indian cohort),6.0,5.4,6.6,Low,0.88,100,24.5,Original country: Japan. Renamed generically for Indian audience.
NONIND_0687,Boiled Besan,Boiledchickpea,Non-Indian reference food,33.3,Henry et al. GI tables (non-Indian cohort),8.9,8.0,9.8,Low,0.88,100,26.7,Original country: SriLanka. Renamed generically for Indian audience.
NONIND_0686,Boiled Cassava,Boiledcassava,Non-Indian reference food,78.7,Henry et al. GI tables (non-Indian cohort),21.0,18.9,23.1,High,0.88,100,26.7,Original country: SriLanka. Renamed generically for Indian audience.
T2_0108,Boiled Corn Chaat,Boiled corn chaat,Snacks,55.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,9.9,7.92,11.88,Low,0.8,100,18.0,Boiled sweet corn with veg.
NONIND_0591,Boiled Cowpea,Boiledcowpea,Non-Indian reference food,49.0,Henry et al. GI tables (non-Indian cohort),19.6,17.6,21.6,Medium,0.88,100,40.0,Original country: SriLanka. Renamed generically for Indian audience.
