food_id,canonical_name,primary_category,gi,gi_evidence,gl_median,gl_min,gl_max,gl_category,confidence_score,serving_size_g,available_carbs_g,notes
W0012,Pizza (BBQ chicken) (thin crust),Western mains,70.7,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,20.7,18.6,22.7,High,0.72,100,29.2,"Template: Thin crust pizza. Carb anchors: sugar, white_bread."
W0013,Pizza (Mexican style),Western mains,70.5,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,17.4,15.7,19.1,Medium,0.72,100,24.7,"Template: Pizza. Carb anchors: sugar, white_bread."
W0014,Pizza (Mexican style) (thin crust),Western mains,70.7,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,20.7,18.6,22.7,High,0.72,100,29.2,"Template: Thin crust pizza. Carb anchors: sugar, white_bread."
W0015,Pizza (Cheese burst),Western mains,70.5,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,17.4,15.7,19.1,Medium,0.72,100,24.7,"Template: Pizza. Carb anchors: sugar, white_bread."
W0016,Pizza (Cheese burst) (thin crust),Western mains,70.7,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,20.7,18.6,22.7,High,0.72,100,29.2,"Template: Thin crust pizza. Carb anchors: sugar, white_bread."
W0017,Garlic bread,Western sides,71.0,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,25.0,22.9,27.2,High,0.75,100,35.3,Template: Garlic bread. Carb anchors: white_bread.
W0018,Cheesy garlic bread,Western sides,71.0,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,25.0,22.9,27.2,High,0.75,100,35.3,Template: Garlic bread. Carb anchors: white_bread. Cheese affects calories more than carbs; GI/GL mainly from bread.
W0019,Burger (veg),Western mains,70.8,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,20.3,18.6,22.1,High,0.75,100,28.7,"Template: Burger. Carb anchors: sugar, white_bread."
W0020,Burger (chicken),Western mains,70.8,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,20.3,18.6,22.1,High,0.75,100,28.7,"Template: Burger. Carb anchors: sugar, white_bread."
W0021,Burger (cheese),Western mains,70.8,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,20.3,18.6,22.1,High,0.75,100,28.7,"Template: Burger. Carb anchors: sugar, white_bread."
W0022,Burger (double patty),Western mains,70.8,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,20.3,18.6,22.1,High,0.75,100,28.7,"Template: Burger. Carb anchors: sugar, white_bread."
W0023,Burger (paneer),Western mains,70.8,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,20.3,18.6,22.1,High,0.75,100,28.7,"Template: Burger. Carb anchors: sugar, white_bread."
W0024,Sub sandwich (veg),Western mains,70.8,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,22.1,20.2,24.1,High,0.75,100,31.2,"Template: Sub sandwich. Carb anchors: sugar, white_bread."
W0025,Sub sandwich (chicken),Western mains,70.8,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,22.1,20.2,24.1,High,0.75,100,31.2,"Template: Sub sandwich. Carb anchors: sugar, white_bread."
W0026,Sub sandwich (tuna),Western mains,70.8,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,22.1,20.2,24.1,High,0.75,100,31.2,"Template: Sub sandwich. Carb anchors: sugar, white_bread."
W0027,Grilled sandwich (veg),Western mains,70.8,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,22.1,20.2,24.1,High,0.75,100,31.2,"Template: Sub sandwich. Carb anchors: sugar, white_bread."
W0028,Grilled sandwich (cheese),Western mains,70.8,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,22.1,20.2,24.1,High,0.75,100,31.2,"Template: Sub sandwich. Carb anchors: sugar, white_bread."
W0029,Wrap (veg),Western mains,70.8,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,18.5,16.9,20.2,Medium,0.75,100,26.2,"Template: Wrap (tortilla). Carb anchors: sugar, white_bread."
W0030,Wrap (chicken),Western mains,70.8,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,18.5,16.9,20.2,Medium,0.75,100,26.2,"Template: Wrap (tortilla). Carb anchors: sugar, white_bread."
W0031,Wrap (falafel),Western mains,70.8,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,18.5,16.9,20.2,Medium,0.75,100,26.2,"Template: Wrap (tortilla). Carb anchors: sugar, white_bread."
W0032,Wrap (paneer),Western mains,70.8,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,18.5,16.9,20.2,Medium,0.75,100,26.2,"Template: Wrap (tortilla). Carb anchors: sugar, white_bread."
W0033,Quesadilla (cheese),Western mains,70.8,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,18.5,16.9,20.2,Medium,0.75,100,26.2,"Template: Wrap (tortilla). Carb anchors: sugar, white_bread."
W0034,Quesadilla (chicken),Western mains,70.8,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,18.5,16.9,20.2,Medium,0.75,100,26.2,"Template: Wrap (tortilla). Carb anchors: sugar, white_bread."
W0035,Pasta (white sauce),Western mains,41.1,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,9.3,8.6,10.0,Low,0.78,100,22.6,"Template: Pasta (white sauce). Carb anchors: cooked_pasta, sugar."
W0036,Pasta (red sauce),Western mains,42.1,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,10.2,9.4,11.0,Medium,0.78,100,24.2,"Template: Pasta (red sauce). Carb anchors: cooked_pasta, sugar."
W0037,Pasta (arrabbiata),Western mains,42.1,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,10.2,9.4,11.0,Medium,0.78,100,24.2,"Template: Pasta (red sauce). Carb anchors: cooked_pasta, sugar."
W0038,Pasta (alfredo),Western mains,42.1,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,10.2,9.4,11.0,Medium,0.78,100,24.2,"Template: Pasta (red sauce). Carb anchors: cooked_pasta, sugar."
W0039,Pasta (pesto),Western mains,41.1,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,9.3,8.6,10.0,Low,0.78,100,22.6,"Template: Pasta (white sauce). Carb anchors: cooked_pasta, sugar."
W0040,Mac and cheese,Western mains,41.1,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,9.1,8.4,9.8,Low,0.78,100,22.0,"Template: Mac and cheese. Carb anchors: cooked_pasta, sugar."
W0041,Lasagne (veg),Western mains,41.1,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,9.3,8.6,10.0,Low,0.78,100,22.6,"Template: Pasta (white sauce). Carb anchors: cooked_pasta, sugar."
W0042,Lasagne (chicken),Western mains,41.1,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,9.3,8.6,10.0,Low,0.78,100,22.6,"Template: Pasta (white sauce). Carb anchors: cooked_pasta, sugar."
W0043,Instant noodles (masala),Western mains,41.3,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,8.1,7.4,8.7,Low,0.78,100,19.5,"Template: Instant noodles (cooked). Carb anchors: cooked_pasta, sugar."
W0044,Instant noodles (chicken),Western mains,41.3,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,8.1,7.4,8.7,Low,0.78,100,19.5,"Template: Instant noodles (cooked). Carb anchors: cooked_pasta, sugar."
W0045,Instant noodles (veg),Western mains,41.3,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,8.1,7.4,8.7,Low,0.78,100,19.5,"Template: Instant noodles (cooked). Carb anchors: cooked_pasta, sugar."
W0046,Ramen (veg),Western mains,41.3,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,8.1,7.4,8.7,Low,0.78,100,19.5,"Template: Instant noodles (cooked). Carb anchors: cooked_pasta, sugar."
W0047,Ramen (chicken),Western mains,41.3,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,8.1,7.4,8.7,Low,0.78,100,19.5,"Template: Instant noodles (cooked). Carb anchors: cooked_pasta, sugar."
W0048,French fries,Western sides,64.0,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,22.4,20.4,24.4,High,0.74,100,35.0,Template: French fries. Carb anchors: french_fries.
W0049,Peri peri fries,Western sides,64.0,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,22.4,20.4,24.4,High,0.74,100,35.0,Template: French fries. Carb anchors: french_fries.
W0050,Loaded fries,Western sides,64.0,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,22.4,20.4,24.4,High,0.74,100,35.0,Template: French fries. Carb anchors: french_fries.
W0051,Baked potato,Western sides,78.0,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,16.4,14.9,17.9,Medium,0.74,100,21.0,Template: Baked potato. Carb anchors: baked_potato.
W0052,Mashed potato,Western sides,78.0,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,15.6,14.1,17.0,Medium,0.74,100,19.9,"Template: Mashed potato. Carb anchors: baked_potato, sugar."
W0053,Corn flakes with milk,Western breakfast,74.7,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,21.1,19.3,22.8,High,0.76,100,28.2,"Template: Cereal bowl. Carb anchors: corn_flakes, milk."
W0054,Cereal (choco flakes) with milk,Western breakfast,74.7,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,21.1,19.3,22.8,High,0.76,100,28.2,"Template: Cereal bowl. Carb anchors: corn_flakes, milk."
W0055,Oats porridge (plain),Western breakfast,55.0,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,6.6,6.0,7.2,Low,0.76,100,12.0,Template: Oats porridge. Carb anchors: oats_porridge.
W0056,Oats porridge (with fruit),Western breakfast,55.0,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,6.6,6.0,7.2,Low,0.76,100,12.0,Template: Oats porridge. Carb anchors: oats_porridge.
W0057,Pancake (plain),Western breakfast,75.3,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,27.9,24.8,31.0,High,0.68,100,37.0,"Template: Cake. Carb anchors: sugar, wheat_flour. Breakfast bakery approximated using wheat flour + sugar template."
W0058,Waffle,Western breakfast,75.3,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,27.9,24.8,31.0,High,0.68,100,37.0,"Template: Cake. Carb anchors: sugar, wheat_flour. Breakfast bakery approximated using wheat flour + sugar template."
W0059,Croissant,Western breakfast,75.3,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,27.9,24.8,31.0,High,0.68,100,37.0,"Template: Cake. Carb anchors: sugar, wheat_flour. Breakfast bakery approximated using wheat flour + sugar template."
W0060,Chocolate brownie,Western desserts,75.3,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,27.9,24.8,31.0,High,0.68,100,37.0,"Template: Cake. Carb anchors: sugar, wheat_flour."
W0061,Brownie (with ice cream),Western desserts,74.1,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,27.2,24.2,30.3,High,0.68,100,36.8,"Template: Brownie. Carb anchors: sugar, wheat_flour."
W0062,Chocolate cake,Western desserts,75.3,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,27.9,24.8,31.0,High,0.68,100,37.0,"Template: Cake. Carb anchors: sugar, wheat_flour."
W0063,Cheesecake,Western desserts,75.3,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,27.9,24.8,31.0,High,0.68,100,37.0,"Template: Cake. Carb anchors: sugar, wheat_flour."
W0064,Donut (glazed),Western desserts,78.8,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,30.5,27.1,33.9,High,0.68,100,38.7,"Template: Donut. Carb anchors: sugar, wheat_flour."
W0065,Donut (chocolate),Western desserts,78.8,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,30.5,27.1,33.9,High,0.68,100,38.7,"Template: Donut. Carb anchors: sugar, wheat_flour."
W0066,Cupcake,Western desserts,75.3,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,27.9,24.8,31.0,High,0.68,100,37.0,"Template: Cake. Carb anchors: sugar, wheat_flour."
W0067,Muffin,Western desserts,75.3,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,27.9,24.8,31.0,High,0.68,100,37.0,"Template: Cake. Carb anchors: sugar, wheat_flour."
W0068,Ice cream (vanilla),Western desserts,59.8,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,14.1,12.5,15.6,Medium,0.68,100,23.5,"Template: Ice cream. Carb anchors: milk, sugar."
W0069,Ice cream (chocolate),Western desserts,59.8,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,14.1,12.5,15.6,Medium,0.68,100,23.5,"Template: Ice cream. Carb anchors: milk, sugar."
W0070,Soft drink (cola),Western beverages,65.0,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,6.5,5.8,7.2,Low,0.7,100,10.0,Template: Soft drink. Carb anchors: sugar.
W0071,Soft drink (orange),Western beverages,65.0,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,6.5,5.8,7.2,Low,0.7,100,10.0,Template: Soft drink. Carb anchors: sugar.
W0072,Iced tea (sweetened),Western beverages,54.3,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,6.2,5.6,6.9,Low,0.7,100,11.5,"Template: Sweetened coffee. Carb anchors: milk, sugar."
W0073,Cold coffee (sweetened),Western beverages,54.3,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,6.2,5.6,6.9,Low,0.7,100,11.5,"Template: Sweetened coffee. Carb anchors: milk, sugar."
W0074,Cold coffee (no sugar),Western beverages,30.0,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,1.4,1.2,1.5,Low,0.7,100,4.5,Template: Latte (no sugar). Carb anchors: milk.
W0075,Cappuccino (no sugar),Western beverages,30.0,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,1.4,1.2,1.5,Low,0.7,100,4.5,Template: Latte (no sugar). Carb anchors: milk.
W0076,Latte (no sugar),Western beverages,30.0,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,1.4,1.2,1.5,Low,0.7,100,4.5,Template: Latte (no sugar). Carb anchors: milk.
W0077,Milkshake (chocolate),Western beverages,56.2,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,9.0,8.1,9.9,Low,0.7,100,16.0,"Template: Milkshake. Carb anchors: milk, sugar."
W0078,Milkshake (vanilla),Western beverages,56.2,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,9.0,8.1,9.9,Low,0.7,100,16.0,"Template: Milkshake. Carb anchors: milk, sugar."
W0079,Nachos (with cheese),Western snacks,70.8,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,18.5,16.9,20.2,Medium,0.75,100,26.2,"Template: Wrap (tortilla). Carb anchors: sugar, white_bread."
W0080,Tacos (veg),Western mains,70.8,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,18.5,16.9,20.2,Medium,0.75,100,26.2,"Template: Wrap (tortilla). Carb anchors: sugar, white_bread."
W0081,Tacos (chicken),Western mains,70.8,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,18.5,16.9,20.2,Medium,0.75,100,26.2,"Template: Wrap (tortilla). Carb anchors: sugar, white_bread."
W0082,Burrito (veg),Western mains,72.6,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,15.0,13.5,16.4,Medium,0.73,100,20.6,"Template: Rice bowl. Carb anchors: rice_cooked, sugar."
W0083,Burrito (chicken),Western mains,72.6,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,15.0,13.5,16.4,Medium,0.73,100,20.6,"Template: Rice bowl. Carb anchors: rice_cooked, sugar."
W0084,Sushi (veg),Western mains,73.0,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,15.3,13.9,16.8,Medium,0.73,100,21.0,"Template: Sushi. Carb anchors: rice_cooked, sugar."
W0085,Sushi (salmon),Western mains,73.0,Recipe-weighted GI using anchored ingredient GI values (University of Sydney GI Search / international GI tables) + carb shares from USDA-based nutrition data; see notes.,15.3,13.9,16.8,Medium,0.73,100,21.0,"Template: Sushi. Carb anchors: rice_cooked, sugar."
