food_id,canonical_name,primary_category,gi,gi_evidence,gl_median,gl_min,gl_max,gl_category,confidence_score,serving_size_g,available_carbs_g,notes
WEST_0070,Mac and cheese (fried),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0071,Mac and cheese,Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0072,Mac and cheese (with chicken),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0073,Spaghetti (tomato sauce) (plain),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0074,Spaghetti (tomato sauce) (extra cheese),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0075,Spaghetti (tomato sauce) (thin crust),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0076,Spaghetti (tomato sauce) (pan style),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0077,Spaghetti (tomato sauce) (baked),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0078,Spaghetti (tomato sauce) (fried),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0079,Spaghetti (tomato sauce),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0080,Spaghetti (tomato sauce) (with chicken),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0081,Spaghetti (cheese) (plain),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0082,Spaghetti (cheese) (extra cheese),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0083,Spaghetti (cheese) (thin crust),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0084,Spaghetti (cheese) (pan style),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0085,Spaghetti (cheese) (baked),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0086,Spaghetti (cheese) (fried),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0087,Spaghetti (cheese),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0088,Spaghetti (cheese) (with chicken),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0089,Veg burger (plain),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0090,Veg burger (extra cheese),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0091,Veg burger (thin crust),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0092,Veg burger (pan style),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0093,Veg burger (baked),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0094,Veg burger (fried),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0095,Veg burger,Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0096,Veg burger (with chicken),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0097,Chicken burger (plain),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0098,Chicken burger (extra cheese),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0099,Chicken burger (thin crust),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0100,Chicken burger (pan style),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0101,Chicken burger (baked),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0102,Chicken burger (fried),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0103,Chicken burger,Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0104,Chicken burger (with chicken),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0105,Cheese burger (plain),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0106,Cheese burger (extra cheese),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0107,Cheese burger (thin crust),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0108,Cheese burger (pan style),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0109,Cheese burger (baked),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0110,Cheese burger (fried),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0111,Cheese burger,Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0112,Cheese burger (with chicken),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0113,Grilled veg sandwich (plain),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0114,Grilled veg sandwich (extra cheese),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0115,Grilled veg sandwich (thin crust),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0116,Grilled veg sandwich (pan style),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0117,Grilled veg sandwich (baked),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0118,Grilled veg sandwich (fried),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0119,Grilled veg sandwich,Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0120,Grilled veg sandwich (with chicken),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0121,Grilled cheese sandwich (plain),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0122,Grilled cheese sandwich (extra cheese),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0123,Grilled cheese sandwich (thin crust),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0124,Grilled cheese sandwich (pan style),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0125,Grilled cheese sandwich (baked),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0126,Grilled cheese sandwich (fried),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0127,Grilled cheese sandwich,Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0128,Grilled cheese sandwich (with chicken),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0129,Chicken sandwich (plain),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0130,Chicken sandwich (extra cheese),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0131,Chicken sandwich (thin crust),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0132,Chicken sandwich (pan style),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0133,Chicken sandwich (baked),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0134,Chicken sandwich (fried),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0135,Chicken sandwich,Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0136,Chicken sandwich (with chicken),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0137,Sub sandwich (plain),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0138,Sub sandwich (extra cheese),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0139,Sub sandwich (thin crust),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0140,Sub sandwich (pan style),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0141,Sub sandwich (baked),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0142,Sub sandwich (fried),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0143,Sub sandwich,Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0144,Sub sandwich (with chicken),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0145,Sub sandwich (chicken) (plain),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0146,Sub sandwich (chicken) (extra cheese),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0147,Sub sandwich (chicken) (thin crust),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0148,Sub sandwich (chicken) (pan style),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0149,Sub sandwich (chicken) (baked),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0150,Sub sandwich (chicken) (fried),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0151,Sub sandwich (chicken),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0152,Sub sandwich (chicken) (with chicken),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0153,Garlic bread (plain),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0154,Garlic bread (extra cheese),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0155,Garlic bread (thin crust),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0156,Garlic bread (pan style),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0157,Garlic bread (baked),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0158,Garlic bread (fried),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0159,Garlic bread,Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0160,Garlic bread (with chicken),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0161,Cheese garlic bread (plain),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
WEST_0162,Cheese garlic bread (extra cheese),Western foods (Indian consumption),,Western food category; GI varies by recipe,,,,,0.55,100,,Name normalized for Indian audience; GI/GL to be inferred or mapped
