food_id,canonical_name,canonical_name_original,primary_category,serving_type,serving_size_g,serving_size_min_g,serving_size_max_g,serving_size_confidence,Glycemic Index (GI),gi_evidence,Glycemic Load (GL) per 100g,gl_min,gl_max,gl_category,confidence_score,available_carbs_g,notes,portion_serving_key,gi,gl_median,available_carbs_per100g,gl_per100g_median,gl_per100g_min,gl_per100g_max,serving_size_per100g_g,available_carbs_portion_median,available_carbs_portion_min,available_carbs_portion_max
INDWEBX_00013,Cheese toast,Cheese toast,Breads & flatbreads,Toast (whole wheat) slice,25,20,32,0.9,71.0,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008).,11.36,2.27,3.64,Low,0.44,16.0,Class=bread. Proxy-mapped to validated source 'Sub and Wich Cheese' (food_id=WEST_IN_0277); score=0.20; tier=low. Converted from source serving_size_g=200g.,toast_slice_wholewheat_25g,71.0,2.84,16.0,11.36,11.36,11.36,100.0,4.0,3.2,5.12
INDWEBX_00014,Egg toast,Egg toast,Breads & flatbreads,Toast (whole wheat) slice,25,20,32,0.9,71.0,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008).,13.73,2.74,4.39,Low,0.45,19.33,Class=protein. Proxy-mapped to validated source 'Grilled and Wich Egg' (food_id=WEST_IN_0141); score=0.28; tier=low. Converted from source serving_size_g=150g.,toast_slice_wholewheat_25g,71.0,3.43,19.33,13.72,13.72,13.72,100.0,4.83,3.87,6.19
INDWEBX_00015,Garlic toast,Garlic toast,Breads & flatbreads,Toast (whole wheat) slice,25,20,32,0.9,70.0,Henry et al. GI tables (non-Indian cohort),46.67,9.33,14.93,Medium,0.48,66.67,Class=bread. Proxy-mapped to validated source 'Kurakkan Flour Roti' (food_id=NONIND_0584); score=0.00; tier=prototype. Converted from source serving_size_g=30g.,toast_slice_wholewheat_25g,70.0,11.67,66.67,46.67,46.67,46.67,100.0,16.67,13.33,21.33
INDWEBX_00016,Grilled sandwich (chicken),Grilled sandwich (chicken),Breads & flatbreads,Portion (100g),100,100,100,0.75,69.0,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008).,13.34,13.34,13.34,Medium,0.52,19.33,Class=protein. Proxy-mapped to validated source 'Grilled and Wich Chicken' (food_id=WEST_IN_0137); score=0.63; tier=medium. Converted from source serving_size_g=150g.,portion_100g,69.0,13.34,19.33,13.34,13.34,13.34,100.0,19.33,19.33,19.33
INDWEBX_00017,Grilled sandwich (paneer),Grilled sandwich (paneer),Breads & flatbreads,Portion (100g),100,100,100,0.75,69.0,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008).,13.34,13.34,13.34,Medium,0.45,19.33,Class=bread. Proxy-mapped to validated source 'Grilled and Wich Tuna' (food_id=WEST_IN_0147); score=0.32; tier=low. Converted from source serving_size_g=150g.,portion_100g,69.0,13.34,19.33,13.34,13.34,13.34,100.0,19.33,19.33,19.33
INDWEBX_00018,Grilled sandwich (veg),Grilled sandwich (veg),Breads & flatbreads,Portion (100g),100,100,100,0.75,71.0,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008).,15.62,15.62,15.62,Medium,0.45,22.0,Class=bread. Proxy-mapped to validated source 'Grilled and Wich Cucumber' (food_id=WEST_IN_0140); score=0.32; tier=low. Converted from source serving_size_g=150g.,portion_100g,71.0,15.62,22.0,15.62,15.62,15.62,100.0,22.0,22.0,22.0
INDWEBX_00019,Masala toast,Masala toast,Breads & flatbreads,Toast (whole wheat) slice,25,20,32,0.9,44.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #1785",36.67,7.33,11.73,Low,0.5,83.33,Class=bread. Proxy-mapped to validated source 'Chapati Wheat Flour Thin with Green Gram' (food_id=T1_1785); score=0.00; tier=prototype. Converted from source serving_size_g=30g.,toast_slice_wholewheat_25g,44.0,9.17,83.33,36.67,36.67,36.67,100.0,20.83,16.67,26.67
INDWEBX_00020,Toast (brown bread),Toast (brown bread),Breads & flatbreads,Toast (whole wheat) slice,25,20,32,0.9,47.0,Henry et al. GI tables (non-Indian cohort),4.73,0.95,1.51,Low,0.5,10.06,Class=bread. Proxy-mapped to validated source 'Bread Fruit Boiled' (food_id=NONIND_0566); score=0.28; tier=low. Converted from source serving_size_g=180g.,toast_slice_wholewheat_25g,47.0,1.18,10.06,4.73,4.73,4.73,100.0,2.52,2.01,3.22
INDWEBX_00021,Toast (white bread),Toast (white bread),Breads & flatbreads,Toast (whole wheat) slice,25,20,32,0.9,71.0,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008).,29.29,5.86,9.37,Low,0.44,41.25,Class=bread. Proxy-mapped to validated source 'Garlic Bread' (food_id=WEST_IN_0133); score=0.33; tier=low. Converted from source serving_size_g=80g.,toast_slice_wholewheat_25g,71.0,7.32,41.25,29.29,29.29,29.29,100.0,10.31,8.25,13.2
INDWEBX_00022,Veg toast sandwich,Veg toast sandwich,Breads & flatbreads,Toast (whole wheat) slice,25,20,32,0.9,72.0,Henry et al. GI tables (non-Indian cohort),22.66,4.53,7.25,Low,0.48,31.47,Class=bread. Proxy-mapped to validated source 'Jam and Peanutbuttertoast' (food_id=NONIND_0523); score=0.14; tier=prototype. Converted from source serving_size_g=150g.,toast_slice_wholewheat_25g,72.0,5.67,31.47,22.66,22.66,22.66,100.0,7.87,6.29,10.07
INDWEBX_00023,Dahi poha,Dahi poha,Mixed meals,Portion (100g),100,100,100,0.75,69.1,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 122; n=10 Healthy; ref food/time: Glucose/2h participants; portion 147 g provides 50 g available carbs (table page 21).",15.66,15.66,15.66,Medium,0.5,22.67,Class=south. Proxy-mapped to validated source 'Sewaiupma' (food_id=IND_HENRY2021_628); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,portion_100g,69.1,15.66,22.67,15.66,15.66,15.66,100.0,22.67,22.67,22.67
INDWEBX_00024,Oats upma,Oats upma,Mixed meals,Portion (100g),100,100,100,0.75,37.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 151; n=None None; ref food/time: Healthy Glucose/2h participants; portion 50 g provides 10 g available carbs (table page 24).",4.93,4.93,4.93,Low,0.5,13.33,Class=south. Proxy-mapped to validated source 'Millet Baseddosa' (food_id=IND_HENRY2021_719); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,portion_100g,37.0,4.93,13.33,4.93,4.93,4.93,100.0,13.33,13.33,13.33
INDWEBX_00025,Poha (batata),Poha (batata),Mixed meals,Portion (100g),100,100,100,0.75,69.1,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 122; n=10 Healthy; ref food/time: Glucose/2h participants; portion 147 g provides 50 g available carbs (table page 21).",15.66,15.66,15.66,Medium,0.5,22.67,Class=south. Proxy-mapped to validated source 'Sewaiupma' (food_id=IND_HENRY2021_628); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,portion_100g,69.1,15.66,22.67,15.66,15.66,15.66,100.0,22.67,22.67,22.67
INDWEBX_00026,Poha (indori),Poha (indori),Mixed meals,Portion (100g),100,100,100,0.75,55.8,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 142; n=11 Healthy; ref food/time: Glucose/2h participants; portion 120 g provides 50 g available carbs (table page 23).",19.39,19.39,19.39,Medium,0.5,34.75,Class=south. Proxy-mapped to validated source 'Dosa' (food_id=IND_HENRY2021_688); score=0.00; tier=prototype. Converted from source serving_size_g=120g.,portion_100g,55.8,19.39,34.75,19.39,19.39,19.39,100.0,34.75,34.75,34.75
INDWEBX_00027,Poha (jalebi combBor)eakfast,Poha (jalebi combBor)eakfast,Mixed meals,Portion (100g),100,100,100,0.75,56.0,Henry et al. GI tables (non-Indian cohort),43.75,43.75,43.75,High,0.48,78.12,Class=sweet. Proxy-mapped to validated source 'Moon Cake' (food_id=NONIND_0530); score=0.00; tier=prototype. Converted from source serving_size_g=80g.,portion_100g,56.0,43.75,78.12,43.75,43.75,43.75,100.0,78.12,78.12,78.12
INDWEBX_00028,Poha (kanda),Poha (kanda),Mixed meals,Portion (100g),100,100,100,0.75,65.5,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 147; n=None None; ref food/time: Healthy Glucose/2h participants; portion 50 g provides 16 g available carbs (table page 24).",11.64,11.65,11.65,Medium,0.5,17.78,Class=south. Proxy-mapped to validated source 'Upma' (food_id=IND_HENRY2021_709); score=0.00; tier=prototype. Converted from source serving_size_g=180g.,portion_100g,65.5,11.65,17.78,11.65,11.65,11.65,100.0,17.78,17.78,17.78
INDWEBX_00029,Poha upma,Poha upma,Mixed meals,Portion (100g),100,100,100,0.75,65.5,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 147; n=None None; ref food/time: Healthy Glucose/2h participants; portion 50 g provides 16 g available carbs (table page 24).",11.64,11.65,11.65,Medium,0.63,17.78,Class=south. Proxy-mapped to validated source 'Upma' (food_id=IND_HENRY2021_709); score=0.58; tier=medium. Converted from source serving_size_g=180g.,portion_100g,65.5,11.65,17.78,11.65,11.65,11.65,100.0,17.78,17.78,17.78
INDWEBX_00030,Rava upma,Rava upma,Mixed meals,Portion (100g),100,100,100,0.75,56.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 132; n=10 Healthy; ref food/time: Glucose/2h participants; portion 252 g provides 50 g available carbs (table page 22).",6.16,6.16,6.16,Low,0.5,11.0,Class=south. Proxy-mapped to validated source 'Jowar Fine Semolina Upma' (food_id=IND_HENRY2021_653); score=0.28; tier=low. Converted from source serving_size_g=180g.,portion_100g,56.0,6.16,11.0,6.16,6.16,6.16,100.0,11.0,11.0,11.0
INDWEBX_00031,Vegetable upma,Vegetable upma,Mixed meals,Portion (100g),100,100,100,0.75,62.4,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 142; n=11 Healthy; ref food/time: Glucose/2h participants; portion 142 g provides 50 g available carbs (table page 24).",12.2,12.21,12.21,Medium,0.5,19.56,Class=south. Proxy-mapped to validated source 'Semolina Upma' (food_id=IND_HENRY2021_697); score=0.41; tier=low. Converted from source serving_size_g=180g.,portion_100g,62.4,12.21,19.56,12.21,12.21,12.21,100.0,19.56,19.56,19.56
INDWEBX_00032,Vermicelli upma,Vermicelli upma,Mixed meals,Portion (100g),100,100,100,0.75,65.5,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 147; n=None None; ref food/time: Healthy Glucose/2h participants; portion 50 g provides 16 g available carbs (table page 24).",11.64,11.65,11.65,Medium,0.63,17.78,Class=south. Proxy-mapped to validated source 'Upma' (food_id=IND_HENRY2021_709); score=0.58; tier=medium. Converted from source serving_size_g=180g.,portion_100g,65.5,11.65,17.78,11.65,11.65,11.65,100.0,17.78,17.78,17.78
INDWEBX_00033,Chicken 65,Chicken 65,Mixed meals,Portion (100g),100,100,100,0.75,0.0,"GI is defined using a portion providing ~50g available carbohydrate; for foods with negligible available carbohydrate, GI is not applicable. GL computed from available carbs. (FAO 1998; Oregon State LPI)",0.0,0.0,0.0,Low,0.85,0.0,"Class=protein. Proxy-mapped to validated source 'Burger Chicken' (food_id=WEST_IN_0108); score=0.41; tier=low. Converted from source serving_size_g=180g. | Override: treated as negligible-available-carbohydrate food; set GI=0 (N/A), carbs=0, GL=0 per 100g.",portion_100g,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
INDWEBX_00034,Chicken chettinad,Chicken chettinad,Mixed meals,Portion (100g),100,100,100,0.75,0.0,"GI is defined using a portion providing ~50g available carbohydrate; for foods with negligible available carbohydrate, GI is not applicable. GL computed from available carbs. (FAO 1998; Oregon State LPI)",0.0,0.0,0.0,Low,0.85,0.0,"Class=protein. Proxy-mapped to validated source 'Quesadilla Chicken' (food_id=WEST_IN_0190); score=0.41; tier=low. Converted from source serving_size_g=150g. | Override: treated as negligible-available-carbohydrate food; set GI=0 (N/A), carbs=0, GL=0 per 100g.",portion_100g,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
INDWEBX_00035,Chicken do pyaza,Chicken do pyaza,Mixed meals,Portion (100g),100,100,100,0.75,0.0,"GI is defined using a portion providing ~50g available carbohydrate; for foods with negligible available carbohydrate, GI is not applicable. GL computed from available carbs. (FAO 1998; Oregon State LPI)",0.0,0.0,0.0,Low,0.85,0.0,"Class=protein. Proxy-mapped to validated source 'Lasagna Chicken' (food_id=WEST_IN_0205); score=0.33; tier=low. Converted from source serving_size_g=250g. | Override: treated as negligible-available-carbohydrate food; set GI=0 (N/A), carbs=0, GL=0 per 100g.",portion_100g,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
INDWEBX_00036,Chicken roast,Chicken roast,Mixed meals,Portion (100g),100,100,100,0.75,0.0,"GI is defined using a portion providing ~50g available carbohydrate; for foods with negligible available carbohydrate, GI is not applicable. GL computed from available carbs. (FAO 1998; Oregon State LPI)",0.0,0.0,0.0,Low,0.85,0.0,"Class=protein. Proxy-mapped to validated source 'Quesadilla Chicken' (food_id=WEST_IN_0190); score=0.41; tier=low. Converted from source serving_size_g=150g. | Override: treated as negligible-available-carbohydrate food; set GI=0 (N/A), carbs=0, GL=0 per 100g.",portion_100g,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
INDWEBX_00037,Chicken saag,Chicken saag,Mixed meals,Portion (100g),100,100,100,0.75,0.0,"GI is defined using a portion providing ~50g available carbohydrate; for foods with negligible available carbohydrate, GI is not applicable. GL computed from available carbs. (FAO 1998; Oregon State LPI)",0.0,0.0,0.0,Low,0.85,0.0,"Class=protein. Proxy-mapped to validated source 'Lasagna Chicken' (food_id=WEST_IN_0205); score=0.41; tier=low. Converted from source serving_size_g=250g. | Override: treated as negligible-available-carbohydrate food; set GI=0 (N/A), carbs=0, GL=0 per 100g.",portion_100g,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
INDWEBX_00038,Chicken stew,Chicken stew,Mixed meals,Portion (100g),100,100,100,0.75,0.0,"GI is defined using a portion providing ~50g available carbohydrate; for foods with negligible available carbohydrate, GI is not applicable. GL computed from available carbs. (FAO 1998; Oregon State LPI)",0.0,0.0,0.0,Low,0.85,0.0,"Class=protein. Proxy-mapped to validated source 'Quesadilla Chicken' (food_id=WEST_IN_0190); score=0.41; tier=low. Converted from source serving_size_g=150g. | Override: treated as negligible-available-carbohydrate food; set GI=0 (N/A), carbs=0, GL=0 per 100g.",portion_100g,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
INDWEBX_00039,Tandoori chicken,Tandoori chicken,Mixed meals,Portion (100g),100,100,100,0.75,0.0,"GI is defined using a portion providing ~50g available carbohydrate; for foods with negligible available carbohydrate, GI is not applicable. GL computed from available carbs. (FAO 1998; Oregon State LPI)",0.0,0.0,0.0,Low,0.85,0.0,"Class=protein. Proxy-mapped to validated source 'Pizza Chicken' (food_id=WEST_IN_0016); score=0.41; tier=low. Converted from source serving_size_g=150g. | Override: treated as negligible-available-carbohydrate food; set GI=0 (N/A), carbs=0, GL=0 per 100g.",portion_100g,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
INDWEBX_00040,Badam milk,Badam milk,Mixed meals,Glass (standard),200,200,200,0.9,73.0,Henry et al. GI tables (non-Indian cohort),13.9,27.8,27.8,High,0.5,19.04,Class=other. Proxy-mapped to validated source 'Garden Milk Bar Bun' (food_id=NONIND_0544); score=0.20; tier=low. Converted from source serving_size_g=250g.,glass_200ml,73.0,27.8,19.04,13.9,13.9,13.9,100.0,38.08,38.08,38.08
INDWEBX_00041,Bajra khichda,Bajra khichda,Mixed meals,Portion (100g),100,100,100,0.75,87.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #717",87.0,87.0,87.0,High,0.5,100.0,Class=other. Proxy-mapped to validated source 'Corn Thins Puffed Corn Cake' (food_id=T1_0717); score=0.00; tier=prototype. Converted from source serving_size_g=80g.,portion_100g,87.0,87.0,100.0,87.0,87.0,87.0,100.0,100.0,100.0,100.0
INDWEBX_00042,Chana jor garam,Chana jor garam,Mixed meals,Portion (100g),100,100,100,0.75,73.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #576",12.33,12.33,12.33,Medium,0.5,16.89,Class=other. Proxy-mapped to validated source 'Koshihikari Rice White' (food_id=T1_0576); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,portion_100g,73.0,12.33,16.89,12.33,12.33,12.33,100.0,16.89,16.89,16.89
INDWEBX_00043,Chicken frankie,Chicken frankie,Mixed meals,Portion (100g),100,100,100,0.75,0.0,"GI is defined using a portion providing ~50g available carbohydrate; for foods with negligible available carbohydrate, GI is not applicable. GL computed from available carbs. (FAO 1998; Oregon State LPI)",0.0,0.0,0.0,Low,0.85,0.0,"Class=protein. Proxy-mapped to validated source 'Chicken Nuggets' (food_id=WEST_IN_0224); score=0.41; tier=low. Converted from source serving_size_g=150g. | Override: treated as negligible-available-carbohydrate food; set GI=0 (N/A), carbs=0, GL=0 per 100g.",portion_100g,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
INDWEBX_00044,Churma,Churma,Mixed meals,Portion (100g),100,100,100,0.75,48.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #552",8.32,8.32,8.32,Low,0.5,17.33,Class=other. Proxy-mapped to validated source 'Doongara White Cooked in Rice Cooker' (food_id=T1_0552); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,portion_100g,48.0,8.32,17.33,8.32,8.32,8.32,100.0,17.33,17.33,17.33
INDWEBX_00045,Cream biscuit,Cream biscuit,Mixed meals,Portion (100g),100,100,100,0.75,87.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #717",87.0,87.0,87.0,High,0.5,100.0,Class=other. Proxy-mapped to validated source 'Corn Thins Puffed Corn Cake' (food_id=T1_0717); score=0.00; tier=prototype. Converted from source serving_size_g=80g.,portion_100g,87.0,87.0,100.0,87.0,87.0,87.0,100.0,100.0,100.0,100.0
INDWEBX_00046,Dahi kebab,Dahi kebab,Mixed meals,Portion (100g),100,100,100,0.75,0.0,"GI is defined using a portion providing ~50g available carbohydrate; for foods with negligible available carbohydrate, GI is not applicable. GL computed from available carbs. (FAO 1998; Oregon State LPI)",0.0,0.0,0.0,Low,0.85,0.0,"Class=protein. Proxy-mapped to validated source 'Fried Egg and Wich' (food_id=NONIND_0756); score=0.00; tier=prototype. Converted from source serving_size_g=150g. | Override: treated as negligible-available-carbohydrate food; set GI=0 (N/A), carbs=0, GL=0 per 100g.",portion_100g,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
INDWEBX_00047,Dahi khaman,Dahi khaman,Mixed meals,Portion (100g),100,100,100,0.75,73.0,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 117; n=10 Healthy; ref food/time: Glucose/2h participants; portion 120 g provides 29 g available carbs (table page 21).",11.78,11.77,11.77,Medium,0.5,16.13,Class=other. Proxy-mapped to validated source 'Chikku' (food_id=IND_HENRY2021_610); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,portion_100g,73.0,11.77,16.13,11.77,11.77,11.77,100.0,16.13,16.13,16.13
INDWEBX_00048,Dal baati,Dal baati,Mixed meals,Dal / curry (1 katori),200,160,240,0.6,62.7,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 142; n=11 Healthy; ref food/time: Glucose/2h participants; portion 141 g provides 50 g available carbs (table page 23).",14.84,23.74,35.62,High,0.5,23.67,Class=other. Proxy-mapped to validated source 'Puttu' (food_id=IND_HENRY2021_689); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,dal_katori_default,62.7,29.68,23.67,14.84,14.84,14.84,100.0,47.34,37.87,56.81
INDWEBX_00049,Dal chawal,Dal chawal,Mixed meals,Dal / curry (1 katori),200,160,240,0.6,87.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #717",87.0,139.2,208.8,High,0.5,100.0,Class=other. Proxy-mapped to validated source 'Corn Thins Puffed Corn Cake' (food_id=T1_0717); score=0.00; tier=prototype. Converted from source serving_size_g=80g.,dal_katori_default,87.0,174.0,100.0,87.0,87.0,87.0,100.0,200.0,160.0,240.0
INDWEBX_00050,Digestive biscuit,Digestive biscuit,Mixed meals,Portion (100g),100,100,100,0.75,48.0,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #552",8.32,8.32,8.32,Low,0.5,17.33,Class=other. Proxy-mapped to validated source 'Doongara White Cooked in Rice Cooker' (food_id=T1_0552); score=0.00; tier=prototype. Converted from source serving_size_g=150g.,portion_100g,48.0,8.32,17.33,8.32,8.32,8.32,100.0,17.33,17.33,17.33
INDWEBX_00051,Galouti kebab,Galouti kebab,Mixed meals,Portion (100g),100,100,100,0.75,0.0,"GI is defined using a portion providing ~50g available carbohydrate; for foods with negligible available carbohydrate, GI is not applicable. GL computed from available carbs. (FAO 1998; Oregon State LPI)",0.0,0.0,0.0,Low,0.85,0.0,"Class=protein. Proxy-mapped to validated source 'Tuna Fish Bun' (food_id=NONIND_0519); score=0.00; tier=prototype. Converted from source serving_size_g=150g. | Override: treated as negligible-available-carbohydrate food; set GI=0 (N/A), carbs=0, GL=0 per 100g.",portion_100g,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
