food_id,canonical_name,canonical_name_original,primary_category,serving_type,Serving size min ,Serving size G,Serving Size Max,Serving size confidence,gi,gi_evidence,gl_median,gl_min,gl_max,gl_category,confidence_score,available_carbs_g,notes,available_carbs_per100g,gl_per100g_median,gl_per100g_min,gl_per100g_max,serving_size_per100g_g,portion_serving_key,gl_median_portion,gl_min_portion,gl_max_portion,available_carbs_portion_median,available_carbs_portion_min,available_carbs_portion_max
WEST_IN_0235,Apple Pie,Apple Pie,Western foods (India) - Desserts,piece,112,150,188,0.8,68.3,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008). + Proxy GI anchor: sucrose/sugar from International GI Tables (Atkinson 2008). Combined using carb-weighted recipe GI formula.,21.86,21.86,21.86,High,0.68,32,Recipe-estimated from Atkinson GI anchors; GL computed from estimated available carbs per 100 g. Carb density archetype: cake.,32,21.86,21.86,21.86,100,portion_100g,21.86,21.86,21.86,32,32,32
NONIND_0290,Apple Red,"Apple,Red",Non-Indian reference food,piece,112,150,188,0.8,42,Henry et al. GI tables (non-Indian cohort),3.86,3.86,3.86,Low,0.88,9.2,Original country: Philippines. Renamed generically for Indian audience.,9.2,3.86,3.86,3.86,100,portion_100g,3.86,3.86,3.86,9.2,9.2,9.2
NONIND_0728,Arabic Bread,Arabicbread,Non-Indian reference food,slice,20,25,30,0.9,67,Henry et al. GI tables (non-Indian cohort),67,67,67,High,0.88,100,Original country: UnitedArab. Renamed generically for Indian audience.,100,67,67,67,100,portion_100g,67,67,67,100,100,100
NONIND_0201,Arenga Starch Cake,Arenga(Arengapinata)Starchcake,Non-Indian reference food,piece,60,80,100,0.75,77.7,Henry et al. GI tables (non-Indian cohort),77.7,77.7,77.7,High,0.88,100,Original country: Indonesia. Renamed generically for Indian audience.,100,77.7,77.7,77.7,100,portion_100g,77.7,77.7,77.7,100,100,100
NONIND_0203,Arenga Starch Cookie,Arenga(Arengapinata)Starchcookie,Non-Indian reference food,piece,11,15,19,0.75,47.3,Henry et al. GI tables (non-Indian cohort),47.3,47.3,47.3,High,0.88,100,Original country: Indonesia. Renamed generically for Indian audience.,100,47.3,47.3,47.3,100,portion_100g,47.3,47.3,47.3,100,100,100
NONIND_0158,Arrowroot,Arrowroot(Marantaarundinacealinn.,Non-Indian reference food,portion,105,150,195,0.5,14,Henry et al. GI tables (non-Indian cohort),0.77,0.77,0.77,Low,0.88,5.533333333,Original country: Indonesia. Renamed generically for Indian audience.,5.533333333,0.77,0.77,0.77,100,portion_100g,0.77,0.77,0.77,5.53,5.53,5.53
NONIND_0168,Arrowrootoyek,Arrowrootoyek,Non-Indian reference food,portion,105,150,195,0.5,41,Henry et al. GI tables (non-Indian cohort),20.72,20.72,20.72,High,0.88,50.53333333,Original country: Indonesia. Renamed generically for Indian audience.,50.53333333,20.72,20.72,20.72,100,portion_100g,20.72,20.72,20.72,50.53,50.53,50.53
NONIND_0171,Arrowroottiwul,Arrowroottiwul(Garut),Non-Indian reference food,portion,105,150,195,0.5,40,Henry et al. GI tables (non-Indian cohort),19.44,19.44,19.44,Medium,0.88,48.6,Original country: Indonesia. Renamed generically for Indian audience.,48.6,19.44,19.44,19.44,100,portion_100g,19.44,19.44,19.44,48.6,48.6,48.6
NONIND_0740,Arseyah,Arseyah,Non-Indian reference food,portion,105,150,195,0.5,72,Henry et al. GI tables (non-Indian cohort),4.75,4.75,4.75,Low,0.88,6.6,Original country: UnitedArab. Renamed generically for Indian audience.,6.6,4.75,4.75,4.75,100,portion_100g,4.75,4.75,4.75,6.6,6.6,6.6
NONIND_0585,Atta Flour Roti,Attaflourroti,Non-Indian reference food,piece,22,30,38,0.8,67,Henry et al. GI tables (non-Indian cohort),36.85,28.81,45.56,High,0.88,100,Original country: SriLanka. Renamed generically for Indian audience.,100,67,67,67,100,roti_chapati_piece_43_68g,36.85,28.81,45.56,55,43,68
NONIND_0610,Attarotimeal with Accompaniments,Attarotimeal+Accompaniments,Non-Indian reference food,portion,105,150,195,0.5,88,Henry et al. GI tables (non-Indian cohort),5.42,4.24,6.7,Low,0.88,11.2,Original country: SriLanka. Renamed generically for Indian audience.,11.2,9.86,9.86,9.86,100,roti_chapati_piece_43_68g,5.42,4.24,6.7,6.16,4.82,7.62
NONIND_0298,Avocado,Avocado,Non-Indian reference food,portion,105,150,195,0.5,31,Henry et al. GI tables (non-Indian cohort),1.82,1.82,1.82,Low,0.88,5.866666667,Original country: Philippines. Renamed generically for Indian audience.,5.866666667,1.82,1.82,1.82,100,portion_100g,1.82,1.82,1.82,5.87,5.87,5.87
NONIND_0393,Bagel,Bagel,Non-Indian reference food,portion,105,150,195,0.5,77.4,Henry et al. GI tables (non-Indian cohort),24.77,24.77,24.77,High,0.88,32,Original country: Korea. Renamed generically for Indian audience.,32,24.77,24.77,24.77,100,portion_100g,24.77,24.77,24.77,32,32,32
T3_0011,Baingan Bharta,Baingan bharta,Mixed meals,portion,105,150,195,0.5,-1,"GI_NA_RULE: GI is defined using a portion providing ~50g available carbohydrate; for foods with negligible available carbohydrate (non-starchy vegetables / protein mains without carb carriers), GI is not applicable. Use GL from available carbs (per 100g).",0,0,0,Low,0.75,4,"Roasted eggplant; low carbs. | GI_NA_RULE applied (protein/non-starchy veg without carb carrier, carbs<=10g/100g).",4,0,0,0,100,portion_100g,0,0,0,4,4,4
T2_0012,Bajra,Pearl millet (cooked),Grains & staples,plate,120,150,180,0.55,58,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,8.89,8.89,8.89,Low,0.85,15.33333333,Cooked bajra grain.,15.33333333,8.89,8.89,8.89,100,portion_100g,8.89,8.89,8.89,15.33,15.33,15.33
T2_0006,Bajra Bhakri,Bajra bhakri,Breads & flatbreads,portion,105,150,195,0.5,56,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,11.2,11.2,11.2,Medium,0.84,20,Thicker roti; estimated.,20,11.2,11.2,11.2,100,portion_100g,11.2,11.2,11.2,20,20,20
T2_0019,Bajra Dosa,Bajra dosa (plain),Mixed meals,piece,90,120,150,0.75,73,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,9.74,4.26,18.86,Low,0.82,16.66666667,Batter-based; estimated.,16.66666667,12.17,12.17,12.17,100,dosa_small_medium_large,9.74,4.26,18.86,13.33,5.83,25.83
T1_1774,Bajra Eaten As,"Bajra (Penniseteum typhoideum), eaten as",Grains & staples,plate,120,150,180,0.55,49,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #1774",21.78,21.78,21.78,High,0.92,44.44666667,Normalized to 100g from table serving 75g with 50g available carbs and GL 25.,44.44666667,21.78,21.78,21.78,100,portion_100g,21.78,21.78,21.78,44.45,44.45,44.45
T2_0022,Bajra Idli,Bajra idli (plain),Mixed meals,piece,38,50,62,0.8,74,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,26.64,26.64,26.64,High,0.82,36,Steamed batter item; estimated.,36,26.64,26.64,26.64,100,portion_100g,26.64,26.64,26.64,36,36,36
T2_0028,Bajra Khichdi,Bajra khichdi (bajra + moong),Mixed meals,katori,144,180,216,0.75,55,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,7.37,6.6,8.25,Low,0.79,10,Weighted GI; recipe-based.,10,5.5,5.5,5.5,100,cooked_rice_nin_cup_200ml,5.5,5.5,5.5,13.4,12,15
T2_0015,Bajra Porridge,Bajra porridge (unsweetened),Grains & staples,plate,120,150,180,0.55,55,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,4.4,4.4,4.4,Low,0.83,8,Diluted porridge; GL lower per 100g.,8,4.4,4.4,4.4,100,portion_100g,4.4,4.4,4.4,8,8,8
T2_0032,Bajra Puttu,Bajra puttu (plain),Mixed meals,portion,105,150,195,0.5,63,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,10.92,10.92,10.92,Medium,0.8,17.33333333,Steamed bajra preparation.,17.33333333,10.92,10.92,10.92,100,portion_100g,10.92,10.92,10.92,17.33,17.33,17.33
T2_0003,Bajra Roti,Bajra roti (pearl millet roti),Breads & flatbreads,piece,22,30,38,0.8,54,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,28.71,22.45,35.5,High,0.85,96.66666667,Millet roti; GL estimated using cooked roti carb density.,96.66666667,52.2,52.2,52.2,100,roti_chapati_piece_43_68g,28.71,22.45,35.5,53.17,41.57,65.73
T3_0078,Bajra Roti with Curry,Bajra roti + curry,Mixed meals,piece,22,30,38,0.8,56,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,18.48,14.45,22.85,Medium,0.66,60,Roti + curry; weighted.,60,33.6,33.6,33.6,100,roti_chapati_piece_43_68g,18.48,14.45,22.85,33,25.8,40.8
NONIND_0515,Baked Barbecuedporkpuff,Bakedbarbecuedporkpuff,Non-Indian reference food,portion,105,150,195,0.5,55,Henry et al. GI tables (non-Indian cohort),11.4,11.4,11.4,Medium,0.88,20.73333333,Original country: Hong. Renamed generically for Indian audience.,20.73333333,11.4,11.4,11.4,100,portion_100g,11.4,11.4,11.4,20.73,20.73,20.73
NONIND_0404,Baked Chestnuts,Bakedchestnuts,Non-Indian reference food,portion,105,150,195,0.5,54.3,Henry et al. GI tables (non-Indian cohort),13.43,13.43,13.43,Medium,0.88,24.73333333,Original country: Korea. Renamed generically for Indian audience.,24.73333333,13.43,13.43,13.43,100,portion_100g,13.43,13.43,13.43,24.73,24.73,24.73
NONIND_0402,Baked Sweet Potato Es,Bakedsweetpotatoes,Non-Indian reference food,portion,105,150,195,0.5,90.9,Henry et al. GI tables (non-Indian cohort),18.91,18.91,18.91,Medium,0.88,20.8,Original country: Korea. Renamed generically for Indian audience.,20.8,18.91,18.91,18.91,100,portion_100g,18.91,18.91,18.91,20.8,20.8,20.8
T4_0119,Bakery Bread,Bakery bread (sweet),Breads & flatbreads,slice,20,25,30,0.9,75,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,75,75,75,High,0.52,100,Sweetened bread.,100,75,75,75,100,portion_100g,75,75,75,100,100,100
T4_0120,Bakery Cake,Bakery cake (assorted),Sweets & desserts,piece,60,80,100,0.75,80,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,45,45,45,High,0.5,56.25,Highly variable.,56.25,45,45,45,100,portion_100g,45,45,45,56.25,56.25,56.25
T4_0121,Bakery Cookie,Bakery cookies,Sweets & desserts,piece,11,15,19,0.75,75,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,75,75,75,High,0.5,100,Refined flour + sugar.,100,75,75,75,100,portion_100g,75,75,75,100,100,100
NONIND_0745,Balalet,Balalet,Non-Indian reference food,portion,105,150,195,0.5,63,Henry et al. GI tables (non-Indian cohort),11.72,11.72,11.72,Medium,0.88,18.6,Original country: UnitedArab. Renamed generically for Indian audience.,18.6,11.72,11.72,11.72,100,portion_100g,11.72,11.72,11.72,18.6,18.6,18.6
IND_HENRY2021_605,Banana,Banana (yallakki),Fruits,piece,96,120,144,0.85,43,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 117; n=10 Healthy; ref food/time: Glucose/2h participants; portion 120 g provides 25 g available carbs (table page 21).",7.45,7.45,7.45,Low,0.92,17.33333333,Computed carbs per 100 g using study portion: 25 g available carbs in 120 g portion. GI variability (SEM/SD) not reported in row.,17.33333333,7.45,7.45,7.45,100,portion_100g,7.45,7.45,7.45,17.33,17.33,17.33
NONIND_0281,Banana Lakatan,"Banana,Lakatan",Non-Indian reference food,piece,96,120,144,0.85,62,Henry et al. GI tables (non-Indian cohort),14.36,14.36,14.36,Medium,0.88,23.16666667,Original country: Philippines. Renamed generically for Indian audience.,23.16666667,14.36,14.36,14.36,100,portion_100g,14.36,14.36,14.36,23.17,23.17,23.17
T1_1775,Banana Nendra Variety,"Banana, (Musa sapientum), Nendra variety",Fruits,piece,96,120,144,0.85,70,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #1775",21.88,21.88,21.88,High,0.92,31.25,Normalized to 100g from table serving 120g with 45g available carbs and GL 31.,31.25,21.88,21.88,21.88,100,portion_100g,21.88,21.88,21.88,31.25,31.25,31.25
NONIND_0282,Banana Saba,"Banana,Saba",Non-Indian reference food,piece,96,120,144,0.85,53,Henry et al. GI tables (non-Indian cohort),13.74,13.74,13.74,Medium,0.88,25.91666667,Original country: Philippines. Renamed generically for Indian audience.,25.91666667,13.74,13.74,13.74,100,portion_100g,13.74,13.74,13.74,25.92,25.92,25.92
NONIND_0528,Barbecuepork Bun,Barbecueporkbun,Non-Indian reference food,portion,105,150,195,0.5,69,Henry et al. GI tables (non-Indian cohort),19.32,19.32,19.32,Medium,0.88,28,Original country: Hong. Renamed generically for Indian audience.,28,19.32,19.32,19.32,100,portion_100g,19.32,19.32,19.32,28,28,28
T3_0126,Barfi,Barfi (milk),Sweets & desserts,piece,52,70,88,0.55,80,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,40,40,40,High,0.58,50,Milk fudge; recipe-based.,50,40,40,40,100,portion_100g,40,40,40,50,50,50
NONIND_0081,Bariocelum Rice,Bariocelumrice,Non-Indian reference food,plate,120,150,180,0.85,60.9,Henry et al. GI tables (non-Indian cohort),54.4,48.72,60.9,High,0.88,66.66666667,Original country: Malaysia. Renamed generically for Indian audience.,66.66666667,40.6,40.6,40.6,100,cooked_rice_nin_cup_200ml,40.6,40.6,40.6,89.33,80,100
NONIND_0082,Bariotuan Rice,Bariotuanrice,Non-Indian reference food,plate,120,150,180,0.85,62.2,Henry et al. GI tables (non-Indian cohort),55.57,49.76,62.2,High,0.88,66.66666667,Original country: Malaysia. Renamed generically for Indian audience.,66.66666667,41.47,41.47,41.47,100,cooked_rice_nin_cup_200ml,41.47,41.47,41.47,89.33,80,100
T1_1776,Barley,Barley (Hordeum vulgare),Grains & staples,plate,120,150,180,0.55,48,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #1776",7.89,7.89,7.89,Low,0.92,16.44666667,Normalized to 100g from table serving 150g with 37g available carbs and GL 16.,16.44666667,7.89,7.89,7.89,100,portion_100g,7.89,7.89,7.89,16.45,16.45,16.45
T1_0118,Barley Bread High Amylose Barley Flour and,"Barley bread, 70% high-amylose barley flour and",Grains & staples,slice,20,25,30,0.9,49,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #118",49,49,49,High,0.92,100,Normalized to 100g from table serving 30g with 12g available carbs and GL 6.,100,49,49,49,100,portion_100g,49,49,49,100,100,100
NONIND_0018,Barley Drink,Barleydrink,Non-Indian reference food,portion,105,150,195,0.5,62,Henry et al. GI tables (non-Indian cohort),3.14,3.14,3.14,Low,0.88,5.066666667,Original country: Singapore. Renamed generically for Indian audience.,5.066666667,3.14,3.14,3.14,100,portion_100g,3.14,3.14,3.14,5.07,5.07,5.07
NONIND_0037,Barley Flour Muffin,Barleyflourmuffin,Non-Indian reference food,portion,105,150,195,0.5,55.4,Henry et al. GI tables (non-Indian cohort),13.22,13.22,13.22,Medium,0.88,23.86666667,Original country: Singapore. Renamed generically for Indian audience.,23.86666667,13.22,13.22,13.22,100,portion_100g,13.22,13.22,13.22,23.87,23.87,23.87
T1_0306,Barley Flour Porridge Made from Milled Dehulled Barley,"Barley flour porridge, made from milled dehulled barley",Grains & staples,plate,120,150,180,0.55,46,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #306",19.63,19.63,19.63,Medium,0.92,42.66666667,Normalized to 100g from table serving 50g with 32g available carbs and GL 15.,42.66666667,19.63,19.63,19.63,100,portion_100g,19.63,19.63,19.63,42.67,42.67,42.67
T1_0307,Barley Flour Porridge Made from Milled High Amylose,"Barley flour porridge, made from milled high-amylose",Grains & staples,plate,120,150,180,0.55,39,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #307",14.56,14.56,14.56,Medium,0.92,37.33333333,Normalized to 100g from table serving 50g with 28g available carbs and GL 11.,37.33333333,14.56,14.56,14.56,100,portion_100g,14.56,14.56,14.56,37.33,37.33,37.33
T1_0489,Barley Kernels Boiled in Water for,"Barley kernels, boiled in water for",Grains & staples,plate,120,150,180,0.55,25,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #489",9.34,9.34,9.34,Low,0.92,18.66666667,Normalized to 100g from table serving 150g with 42g available carbs and GL 10.,18.66666667,4.67,4.67,4.67,100,glass_200ml,9.34,9.34,9.34,37.33,37.33,37.33
T1_0487,Barley Kernels High Amylose Boiled in,"Barley kernels, high-amylose (hull-less) boiled in",Grains & staples,plate,120,150,180,0.55,20,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #487",3.73,3.73,3.73,Low,0.92,18.66666667,Normalized to 100g from table serving 150g with 42g available carbs and GL 8.,18.66666667,3.73,3.73,3.73,100,portion_100g,3.73,3.73,3.73,18.67,18.67,18.67
T1_0488,Barley Kernels Waxy Boiled in Water,"Barley kernels, waxy (hull-less), boiled in water",Grains & staples,plate,120,150,180,0.55,22,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #488",8.22,8.22,8.22,Low,0.92,18.66666667,Normalized to 100g from table serving 150g with 42g available carbs and GL 9.,18.66666667,4.11,4.11,4.11,100,glass_200ml,8.22,8.22,8.22,37.33,37.33,37.33
T1_0492,Barley Pearled Boiled,"Barley, pearled, boiled",Grains & staples,plate,120,150,180,0.55,60,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #492",11.2,11.2,11.2,Medium,0.92,18.66666667,Normalized to 100g from table serving 150g with 42g available carbs and GL 15.,18.66666667,11.2,11.2,11.2,100,portion_100g,11.2,11.2,11.2,18.67,18.67,18.67
T1_0309,Barley Porridge Made from Steam Thick,Barley porridge made from steamed thick (1.0 mm),Grains & staples,plate,120,150,180,0.55,65,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #309",48.54,48.54,48.54,High,0.92,37.33333333,Normalized to 100g from table serving 50g with 28g available carbs and GL 18.,37.33333333,24.27,24.27,24.27,100,cup_200ml,48.54,48.54,48.54,74.67,74.67,74.67
T1_0308,Barley Porridge Made from Steam Thin,Barley porridge made from steamed thin (0.5 mm),Grains & staples,plate,120,150,180,0.55,62,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #308",46.3,46.3,46.3,High,0.92,37.33333333,Normalized to 100g from table serving 50g with 28g available carbs and GL 17.,37.33333333,23.15,23.15,23.15,100,cup_200ml,46.3,46.3,46.3,74.67,74.67,74.67
T1_0494,Barley Pot Boiled,"Barley, pot, boiled",Grains & staples,plate,120,150,180,0.55,20,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #494",3.73,3.73,3.73,Low,0.92,18.66666667,Normalized to 100g from table serving 150g with 42g available carbs and GL 16.,18.66666667,3.73,3.73,3.73,100,portion_100g,3.73,3.73,3.73,18.67,18.67,18.67
T1_0491,Barley Pot Boiled in Salted Water,"Barley, pot, boiled in salted water",Grains & staples,plate,120,150,180,0.55,20,"Clinically measured GI/GL from International Tables (Atkinson et al., Diabetes Care 2008), Table A1, item #491",7.46,7.46,7.46,Low,0.92,18.66666667,Normalized to 100g from table serving 150g with 42g available carbs and GL 11.,18.66666667,3.73,3.73,3.73,100,glass_200ml,7.46,7.46,7.46,37.33,37.33,37.33
NONIND_0381,Barley Powder,Barleypowder,Non-Indian reference food,portion,105,150,195,0.5,69.8,Henry et al. GI tables (non-Indian cohort),34.71,34.71,34.71,High,0.88,49.73333333,Original country: Korea. Renamed generically for Indian audience.,49.73333333,34.71,34.71,34.71,100,portion_100g,34.71,34.71,34.71,49.73,49.73,49.73
T2_0010,Barnyard Millet,Barnyard millet (cooked),Grains & staples,plate,120,150,180,0.55,45,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,6.3,6.3,6.3,Low,0.86,14,Cooked millet grain.,14,6.3,6.3,6.3,100,portion_100g,6.3,6.3,6.3,14,14,14
